,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OTAU014798-RA,22.2940693517975,-3.68269363327774,0.604539875040527,-6.09172990124243,1.11697028079433e-09,1.56621572772981e-05
OTAU014765-RA,257.123538643577,-1.96431637108424,0.337475210891899,-5.82062417530707,5.86282662172401e-09,4.1104277444907e-05
OTAU008015-RA,988.765565058998,5.81409749713641,1.03475516951863,5.61881464176803,1.92271992393622e-08,7.77758751639707e-05
OTAU013946-RA,946.743255948768,-0.90056969847013,0.160987856687532,-5.5940225368556,2.21868136254374e-08,7.77758751639707e-05
OTAU010901-RA,54.6890237231225,2.06634901935992,0.37284711236949,5.54208132719069,2.98897417300803e-08,8.38227917078372e-05
OTAU017482-RA,126.291607961615,6.81485097613841,1.24845354536378,5.45863400480206,4.79811662364849e-08,0.000112131985494665
OTAU012035-RA,284.400671242117,6.35037056532395,1.17769907593398,5.39218438316913,6.96062888386802e-08,0.000139431340299425
OTAU012562-RA,251.774363762084,1.72542754215139,0.332894583403719,5.18310488716746,2.18222234928256e-07,0.000382489022270501
OTAU016829-RA,14.5445529415337,-5.49808970497227,1.0841604766614,-5.07128771370016,3.95132865596565e-07,0.000615617004599449
OTAU008667-RA,231.871114768253,1.76478894405059,0.355453273422145,4.96489714965908,6.87374875581067e-07,0.000810405958337315
OTAU013892-RA,3954.97225542437,2.82959995220159,0.568398280174865,4.97819935579517,6.41785352353436e-07,0.000810405958337315
OTAU015887-RA,37.6386131219076,-3.95302427062156,0.796472811663191,-4.9631628509288,6.93543823994279e-07,0.000810405958337315
OTAU003907-RA,101.641885804975,-2.46837702785341,0.512495396606531,-4.81638868211828,1.46179653039138e-06,0.00136648739660986
OTAU016438-RA,574.612762402314,-3.10026410937705,0.642368124390758,-4.82630440655416,1.39089862356223e-06,0.00136648739660986
OTAU016993-RA,37.4204161378295,-3.72228208514656,0.772771628099475,-4.81679444456443,1.45882833304357e-06,0.00136648739660986
OTAU007877-RA,333.187557438563,4.94313125307532,1.02993414013116,4.79946344185252,1.59091271714972e-06,0.00139423613249209
OTAU008583-RA,289.144898042726,0.884467108177621,0.187045213211324,4.72862733556484,2.26042842457324e-06,0.00186445455113917
OTAU004967-RA,304.121042730406,2.13420395765703,0.452530382485916,4.71615617482535,2.40341977368073e-06,0.00187226400369729
OTAU011744-RA,1424.39603276042,1.07442501799838,0.229088233224895,4.69000525637482,2.73198030674891e-06,0.0020162014663807
OTAU016607-RA,10.3588689400702,-6.20942344712206,1.33615367296646,-4.64723749427432,3.3640977973715e-06,0.00235856896573716
OTAU012716-RA,188.877675219285,-5.60036973973225,1.21070996924569,-4.62569061293964,3.73352263124388e-06,0.00249292639691912
OTAU017158-RA,9.81334690400048,5.83046723098925,1.2650172858278,4.60900202416911,4.04606394353866e-06,0.0025788140280136
OTAU010647-RA,449.026943707007,1.45379258192501,0.319807963462663,4.54582983545604,5.47192324565161e-06,0.00333596990219682
OTAU003416-RA,3279.29864805945,0.288199573319978,0.0636088402224684,4.5308100621237,5.87579483254707e-06,0.00334556062863017
OTAU004278-RA,953.880991843642,1.49181501608163,0.329491246050375,4.52763171696996,5.96484208499174e-06,0.00334556062863017
OTAU004809-RA,53.6583041805496,-3.45749205382873,0.767557650083916,-4.50453728583219,6.65177186382466e-06,0.00358735173363651
OTAU002209-RA,84.0594014304711,5.00676051362343,1.1208710397091,4.4668479568558,7.93805038680494e-06,0.00412249416754736
OTAU001846-RA,210.349159603218,3.80410499899297,0.857339231457444,4.43710594291379,9.11764253559412e-06,0.00456598512978931
OTAU013574-RA,16.1816105010427,-3.14836703068458,0.723538389599308,-4.35134759391015,1.35303355391594e-05,0.0065421505148308
OTAU011160-RA,10.2415158223762,4.15066189824587,0.959927438751922,4.32393296689432,1.53271885851148e-05,0.00716392794468267
OTAU015822-RA,14.705387759162,4.91534183274666,1.15602720030741,4.25192576043155,2.11940124010819e-05,0.00958653038348293
OTAU005226-RA,150.303197384066,-0.629541741105535,0.14918219769727,-4.21995218479781,2.44354139404767e-05,0.0100774521845107
OTAU010377-RA,618.90936254518,1.5540901385666,0.367901532545322,4.22420131771306,2.39789632129866e-05,0.0100774521845107
OTAU017172-RA,86.7468454905794,2.36818676357376,0.561172262786157,4.22007094900945,2.44225445039776e-05,0.0100774521845107
OTAU012097-RA,34.9097309034085,-1.74330291660375,0.414275606004085,-4.20807523141144,2.57555126130557e-05,0.0103183942245791
OTAU009597-RA,708.814341151473,5.17158529813195,1.23212777892197,4.19728001153966,2.7013985094604e-05,0.0105219471943483
OTAU007224-RA,1084.86985807851,1.11023521616032,0.26689017371478,4.15989543828918,3.18393322683964e-05,0.0120662464072285
OTAU005523-RA,6.55089225559253,-3.43383216334697,0.834022779008883,-4.11719229950481,3.83516059526531e-05,0.0136017001342243
OTAU010042-RA,198.234871051437,-1.09460448085103,0.266208343112617,-4.11183386685955,3.92528722954889e-05,0.0136017001342243
OTAU010378-RA,737.72401663989,0.453882606210966,0.110425167145431,4.11031848938203,3.95113764133376e-05,0.0136017001342243
OTAU013988-RA,4.4169546348091,-5.71298386624105,1.39042444625245,-4.10880568278198,3.97710530240476e-05,0.0136017001342243
OTAU009531-RA,104.061788261391,0.982828260300746,0.239607657200117,4.10182325467128,4.09907340996217e-05,0.0136850493701166
OTAU012923-RA,1056.88378452385,-0.767466770802151,0.187501319135554,-4.09312731419937,4.25593884117186e-05,0.0138783196350958
OTAU012264-RA,31.3067424950103,2.08913489962434,0.513425643849251,4.06901159817747,4.72129973438553e-05,0.0150459238353532
OTAU008025-RA,277.137452967982,-1.04598400408255,0.25743449865957,-4.06310735169084,4.84237455205787e-05,0.0150888391042123
OTAU012053-RA,310.451175010647,-0.96629191455587,0.239182575646902,-4.03997620621989,5.34566243686428e-05,0.016294973628198
OTAU014672-RA,35.8330759107623,-3.97785022295375,0.98702948538961,-4.03012299210451,5.57476757194982e-05,0.0166317852965703
OTAU011835-RA,200.850019097171,-1.41068681002215,0.351355941768996,-4.01497923421949,5.94510289206443e-05,0.0173671318234432
OTAU001961-RA,834.235468998972,0.676724412144296,0.169094949298677,4.0020379967055,6.27992103118764e-05,0.0176114105398626
OTAU012231-RA,28.9524781297753,-1.64710469682861,0.411214390555779,-4.00546463026856,6.1895695431832e-05,0.0176114105398626
OTAU005566-RA,1504.6727166097,-0.543703086704119,0.136516051466515,-3.98270445755957,6.81354644639814e-05,0.0183729900521913
OTAU016355-RA,15.7330962240252,-3.9889500894306,1.00078778898584,-3.98581011212463,6.72502794927231e-05,0.0183729900521913
OTAU013675-RA,499.06104575588,0.748839798988711,0.188954271555766,3.96307420215005,7.39907718029564e-05,0.0195754453249256
OTAU007863-RA,13.6183897740113,-2.5003555502236,0.633478507114678,-3.94702507210866,7.91282734208648e-05,0.0203965984641451
OTAU013586-RA,4.10326377540596,-3.83283491630323,0.971718339829609,-3.94438877934044,8.00037737503907e-05,0.0203965984641451
OTAU007918-RA,561.474739861837,0.794241886903069,0.201725106851696,3.93724856215829,8.24212209027294e-05,0.020637684991037
OTAU003302-RA,12769.1005204798,1.12116233565136,0.286560320135168,3.91248284173649,9.1352030719019e-05,0.0221907706732908
OTAU013258-RA,188.733908591134,3.63408270032131,0.929116685258839,3.91133079190038,9.17889530060525e-05,0.0221907706732908
OTAU004161-RA,16.6146942764673,2.68284797196517,0.687570752765188,3.90192276384012,9.54316105333365e-05,0.0226803736084482
OTAU003590-RA,243.380072400194,-0.96214958674372,0.2468760878894,-3.89729760775681,9.7272054644048e-05,0.022732479170314
OTAU005522-RA,13.0850339460522,-2.51533956135012,0.650051330989424,-3.86944759811751,0.00010908222250472,0.0246701761929222
OTAU011166-RA,25.0562962419016,3.52724245905291,0.911493176982929,3.86974093511944,0.000108951064045103,0.0246701761929222
OTAU008533-RA,1781.19121523962,1.24702239229598,0.323148866854105,3.85897188635041,0.000113865034115725,0.0253431033074713
OTAU010604-RA,12.4318897612437,-4.27210359282397,1.11833005472876,-3.82007402444365,0.000133411628495589,0.0292296539807054
OTAU003611-RA,543.625682268375,0.545619898873794,0.143275432327259,3.80818881514544,0.000139988368151918,0.0295485717478069
OTAU006633-RA,786.363704184939,0.939200766240211,0.246763550370682,3.80607575482428,0.000141189153266514,0.0295485717478069
OTAU011673-RA,11.239306235832,-3.12505735315735,0.820683680522257,-3.80787071477851,0.000140168517386801,0.0295485717478069
OTAU000930-RA,137.445231649589,-1.3188263394009,0.346863608475703,-3.80214674348946,0.000143447717279197,0.0295797631130722
OTAU002650-RA,389.065264365758,1.1121879069083,0.292840946387792,3.79792484837655,0.00014591254518291,0.0296519667906487
OTAU010548-RA,5774.24210812071,3.29669841746562,0.873727246309958,3.77314365711803,0.000161203403339017,0.0322913445945671
OTAU013565-RA,77.2861842262902,-1.58111381296021,0.419716057834292,-3.76710345827286,0.000165152572137839,0.0326164699509405
OTAU003470-RA,1257.95748755703,2.77360265805682,0.737478300403748,3.76092782192826,0.000169284276129779,0.0329681127762745
OTAU002828-RA,1777.76136160488,0.633228017232508,0.168539723864098,3.75714402939873,0.000171863589003097,0.0330119348630332
OTAU006335-RA,178.24767993378,-0.795595399366703,0.212179483589969,-3.74963396981476,0.00017709286895315,0.0335567055197442
OTAU010930-RA,520.990406451455,0.489613401866381,0.130761139712184,3.74433415725851,0.000180872800326552,0.0335657639360606
OTAU015003-RA,155.089176647733,2.49898092139376,0.667663846952948,3.74287290348054,0.000181928259816047,0.0335657639360606
OTAU001654-RA,44.6953579170964,-1.25808743442167,0.338236671322169,-3.71954770458154,0.000199579851160367,0.0349813584121333
OTAU005858-RA,1039.39026884258,-0.767783445117573,0.206393451681127,-3.71999905454259,0.000199223523734724,0.0349813584121333
OTAU013698-RA,14.5930716520628,-2.27099760935346,0.61036866862534,-3.72069820436255,0.000198672745483927,0.0349813584121333
OTAU014686-RA,603.660907801036,1.99868311253678,0.536126232434495,3.72800842715896,0.000192998925972959,0.0349813584121333
OTAU001271-RA,690.556924103052,3.54076056305629,0.957371371757969,3.69841909577323,0.000216946475964831,0.0375558455059119
OTAU000330-RA,466.964797552043,-1.80876589513128,0.490723315779506,-3.68591798467551,0.00022787973512635,0.0389674347066058
OTAU010237-RA,867.972439154096,-2.11074308222801,0.57715424678435,-3.65715594052742,0.000255029240349576,0.0417729896577375
OTAU010669-RA,431.103061106695,-1.37838736075537,0.377328987906432,-3.65301210596937,0.000259182006862299,0.0417729896577375
OTAU012641-RA,31.4345365240933,-2.75291446965305,0.753146130128712,-3.6552195643395,0.000256961962983454,0.0417729896577375
OTAU014957-RA,35.3418277748406,-1.3721296416598,0.375527210962533,-3.65387540930209,0.000258311648723828,0.0417729896577375
OTAU016959-RA,13.7675561301649,-2.793544538847,0.762618895727507,-3.66309378707707,0.000249187249355609,0.0417729896577375
OTAU004720-RA,1386.46549535651,3.57169918215539,0.985206457362242,3.62533066593792,0.000288591948063641,0.04496137571451
OTAU007522-RA,110.682642570737,-1.02773251096786,0.283238745833628,-3.62850254806433,0.000285069937086213,0.04496137571451
OTAU012235-RA,136.935672151267,-3.03948439062395,0.839061413962142,-3.62248142990054,0.000291790414350336,0.04496137571451
OTAU013108-RA,38.8620420682618,-1.80232149329497,0.497385550323278,-3.62359037596397,0.000290541618156205,0.04496137571451
OTAU013508-RA,5.78187261439058,-3.342405522872,0.923795022805711,-3.61812462760471,0.000296745502022846,0.0452278851017864
OTAU007785-RA,733.301519043598,-0.564593558094298,0.156310438392445,-3.61200162894295,0.000303842657184586,0.045811631602605
OTAU016192-RA,151.743729783576,-2.19389313310263,0.608777037047179,-3.60377116677055,0.000313633209625104,0.0467847326102469
OTAU000259-RA,135.334921820527,1.28031781676269,0.355829951896177,3.59811704984367,0.000320529368490477,0.0473101347891943
OTAU014007-RA,2827.38724012663,1.8976800739683,0.527862681073002,3.59502602099249,0.000324359155804863,0.0473767091947478
OTAU016870-RA,3180.68783857444,0.562810617845276,0.156710130757819,3.59141183230233,0.000328891442872239,0.0475434619789127
OTAU008875-RA,4204.25596923023,0.50800199020465,0.14206960232779,3.57572613621149,0.0003492571244746,0.0495846302064789
OTAU014638-RA,15.3501363130591,-3.12770037574798,0.874854920509496,-3.57510748630925,0.000350084038685024,0.0495846302064789
