gene,neglogpval
OTAU015464-RA,7.85390462572173
OTAU017196-RA,7.85795727428876
OTAU015101-RA,7.83286051294924
OTAU010013-RA,7.80047094764251
OTAU012216-RA,7.80410242102952
OTAU009224-RA,7.78616715090731
OTAU010547-RA,7.77727269462718
OTAU000692-RA,7.76156126588767
OTAU000850-RA,7.73632395176262
OTAU003391-RA,7.73727308617472
OTAU007262-RA,7.73143721422564
OTAU004161-RA,7.7181470712415
OTAU008711-RA,7.69603306583269
OTAU013258-RA,7.65875205036631
OTAU016143-RA,7.65040264469672
OTAU001645-RA,7.64076108841639
OTAU008035-RA,7.63422013896672
OTAU001961-RA,7.61223865277952
OTAU000266-RA,7.59486465080646
OTAU004436-RA,7.55907583412637
OTAU010930-RA,7.55703127070166
OTAU000702-RA,7.54911233140614
OTAU005566-RA,7.54838856612559
OTAU005551-RA,7.5410845569343
OTAU006369-RA,7.53676168063757
OTAU012795-RA,7.53562828450219
OTAU006616-RA,7.52107273254202
OTAU003618-RA,7.51560006666516
OTAU007208-RA,7.50551470713625
OTAU007057-RA,7.49999177794852
OTAU000727-RA,7.4921687180812
OTAU009554-RA,7.49196225833379
OTAU004086-RA,7.47578102925359
OTAU004753-RA,7.46691330497735
OTAU015793-RA,7.45950211675195
OTAU011023-RA,7.44936155654697
OTAU013814-RA,7.43883203666617
OTAU000257-RA,7.42852569513482
OTAU010770-RA,7.4194011210541
OTAU007836-RA,7.41120533747441
OTAU015448-RA,7.38892655748902
OTAU002093-RA,7.37051688815098
OTAU001889-RA,7.36576116998157
OTAU000699-RA,7.35302763600289
OTAU012116-RA,7.32054820037577
OTAU012231-RA,7.30132424151447
OTAU017440-RA,7.29810375913139
OTAU000534-RA,7.27010373651725
OTAU002011-RA,7.26766486847803
OTAU011510-RA,7.28114371136637
OTAU014326-RA,7.27684808472069
OTAU015204-RA,7.27220473532149
OTAU012701-RA,7.25547350464181
OTAU013433-RA,7.25231069175845
OTAU008831-RA,7.24601198854621
OTAU001296-RA,7.24019903683321
OTAU003442-RA,7.21623664275071
OTAU005505-RA,7.20570008746423
OTAU005372-RA,7.18772205152652
OTAU014785-RA,7.18800174025171
OTAU015275-RA,7.18876797740979
OTAU013799-RA,7.18198795727338
OTAU010223-RA,7.17775747526347
OTAU010358-RA,7.17119222217806
OTAU015061-RA,7.16389558695896
OTAU009207-RA,7.15839674122144
OTAU001041-RA,7.14967480640423
OTAU010918-RA,7.146126211189
OTAU001546-RA,7.12960163284692
OTAU003242-RA,7.13199703033813
OTAU010965-RA,7.1257940384016
OTAU015188-RA,7.12266075810992
OTAU004806-RA,7.10511115607943
OTAU007430-RA,7.1043188773387
OTAU016290-RA,7.11243552548367
OTAU017258-RA,7.10464429586127
OTAU016189-RA,7.08113947818844
OTAU012921-RA,7.07331526141033
OTAU016993-RA,7.06629630940699
OTAU002960-RA,7.0557539977861
OTAU006817-RA,7.05940687387449
