CHROM,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OTAU016438-RA,574.6127624,-0.813559885,0.226657068,-3.589386793,0.000331457,0.024834519
OTAU014190-RA,5.643179475,-0.902363286,0.251703314,-3.585027437,0.000337043,0.02512804
OTAU001779-RA,757.0929227,0.356197911,0.099462824,3.581216549,0.000341998,0.025350908
OTAU013600-RA,1146.638362,-0.266076955,0.074320085,-3.58014869,0.000343399,0.025350908
OTAU007200-RA,1960.864852,-0.493018791,0.137947945,-3.57394806,0.000351639,0.02583258
OTAU001592-RA,791.7600775,0.174559359,0.048919218,3.568318648,0.000359279,0.026174082
OTAU011744-RA,1424.396033,0.373240545,0.104608775,3.567965926,0.000359763,0.026174082
OTAU009713-RA,8852.035034,-0.256274198,0.071877267,-3.565441615,0.000363244,0.026300264
OTAU003293-RA,395.9437459,0.234798272,0.06596295,3.559547796,0.000371494,0.026684047
OTAU009900-RA,2012.984984,-0.350124839,0.098373773,-3.5591279,0.000372088,0.026684047
OTAU003328-RA,2.193029567,-0.960289981,0.270641703,-3.548196643,0.000387879,0.027554012
OTAU015464-RA,33.72731901,-0.798274101,0.224922611,-3.549105608,0.000386542,0.027554012
OTAU012795-RA,2.391163255,0.956686482,0.269956317,3.543856624,0.00039432,0.027880063
OTAU000330-RA,466.9647976,-0.594672068,0.167977185,-3.540195472,0.000399831,0.028137624
OTAU000692-RA,2198.070949,-0.539998266,0.15327971,-3.52295987,0.000426756,0.029754375
OTAU012235-RA,136.9356722,-0.864934304,0.24549427,-3.523236219,0.000426311,0.029754375
OTAU003391-RA,474.5690142,0.260722993,0.074095894,3.518723888,0.000433628,0.030094166
OTAU004456-RA,19.89153735,-0.825876543,0.234889413,-3.516022849,0.000438063,0.030262537
OTAU007262-RA,1736.067664,-0.434731916,0.12376996,-3.512418643,0.000444048,0.030535899
OTAU000850-RA,5070.47294,-0.506049685,0.144371584,-3.505188966,0.000456283,0.031093333
OTAU008711-RA,105.8360229,0.638547887,0.182117121,3.506248522,0.000454471,0.031093333
OTAU016143-RA,3.676155067,0.902798949,0.257780971,3.502193913,0.000461444,0.031303339
OTAU004161-RA,16.61469428,0.723570996,0.206984675,3.495770864,0.000472694,0.031922771
OTAU001645-RA,756.6363614,0.190751065,0.054606464,3.493195674,0.000477277,0.032088331
OTAU008035-RA,754.3576786,0.324952773,0.093103422,3.490234468,0.000482597,0.032301821
OTAU001961-RA,834.235469,0.2531228,0.072636415,3.484792023,0.00049252,0.032820118
OTAU015101-RA,25.07010216,-0.867649244,0.249217168,-3.481498687,0.000498616,0.033080002
OTAU016421-RA,20.82662491,-0.929931087,0.267198137,-3.480305282,0.000500843,0.033081981
OTAU009954-RA,38.94010591,0.871641673,0.25056941,3.478643598,0.000503958,0.033142414
OTAU000266-RA,703.2418771,0.531025506,0.15298272,3.471146975,0.00051824,0.033364334
OTAU004436-RA,235.0737466,-0.364353868,0.104969078,-3.471059059,0.00051841,0.033364334
OTAU007057-RA,53.04873168,-0.389806676,0.112260175,-3.472350523,0.000515922,0.033364334
OTAU010930-RA,520.9904065,0.166563832,0.047983207,3.471294244,0.000517956,0.033364334
OTAU011023-RA,2.893339457,0.926798085,0.266683153,3.475277969,0.000510324,0.033364334
OTAU005566-RA,1504.672717,-0.183031144,0.052775977,-3.468076825,0.000524197,0.033593247
OTAU005551-RA,242.9782592,0.292303932,0.084324034,3.466436785,0.000527406,0.033655637
OTAU006369-RA,1713.093665,0.308775731,0.089123614,3.464578187,0.000531064,0.033746076
OTAU003618-RA,340.2853887,-0.313520572,0.090636905,-3.459082955,0.000542018,0.034297438
OTAU000727-RA,219.6096644,0.727322873,0.210451469,3.456012342,0.00054823,0.034431865
OTAU007208-RA,719.8340423,-0.297634929,0.086126848,-3.455774097,0.000548715,0.034431865
OTAU013814-RA,10.23541369,-0.691151656,0.200117123,-3.453735722,0.000552879,0.034549195
OTAU004086-RA,210.4440438,-0.276313536,0.080102245,-3.449510522,0.000561604,0.034949396
OTAU004753-RA,32.25462328,0.764082895,0.221828947,3.444468836,0.000572183,0.03531586
OTAU015793-RA,609.2799256,-0.162389432,0.04713953,-3.444867446,0.000571339,0.03531586
OTAU015448-RA,4.825359888,-0.869349791,0.252596337,-3.44165637,0.000578164,0.035395647
OTAU017196-RA,2.995514503,-0.932231055,0.270867408,-3.441650892,0.000578176,0.035395647
OTAU000257-RA,159.0910785,0.229301481,0.066692216,3.438204571,0.000585585,0.035704097
