CHROM,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OTAU000835-RA,244.3768303,-0.122671311,0.068145082,-1.800149135,0.071837093,0.39503626
OTAU012819-RA,495.1867761,-0.115900172,0.064385722,-1.800091218,0.071846236,0.39503626
OTAU000810-RA,50.25884254,-0.195865141,0.108869471,-1.799082319,0.07200566,0.395203423
OTAU000852-RA,1563.714989,0.050767871,0.02821295,1.799452757,0.071947091,0.395203423
OTAU005112-RA,128.380079,-0.236522155,0.131460245,-1.799191496,0.071988394,0.395203423
OTAU009390-RA,36.9878265,-0.390355948,0.2170016,-1.798862071,0.072040502,0.395203423
OTAU009950-RA,1.068253673,-0.442368732,0.245907996,-1.798919671,0.072031388,0.395203423
OTAU013292-RA,517.2763192,0.482556251,0.268227493,1.799055887,0.072009841,0.395203423
OTAU016467-RA,1.016371464,0.486806012,0.270655314,1.798619817,0.07207884,0.395203423
OTAU017312-RA,645.6919336,0.178859436,0.099445304,1.798570963,0.072086574,0.395203423
OTAU002946-RA,884.6160792,0.078193729,0.043479743,1.798394461,0.07211452,0.395212762
OTAU016154-RA,714.4898028,0.096352225,0.053589281,1.797975696,0.072180859,0.395432427
OTAU007792-RA,182.9157867,0.272187513,0.151405698,1.797736263,0.072218812,0.395496476
OTAU009492-RA,1864.531883,-0.139271576,0.077522839,-1.796523166,0.072411352,0.396406746
OTAU006350-RA,1238.980795,0.081526809,0.045394638,1.795956783,0.07250139,0.396755429
OTAU005965-RA,957.7811773,-0.367303918,0.204559985,-1.795580485,0.072561262,0.396938831
OTAU003486-RA,8132.688547,-0.298449795,0.16634276,-1.794185659,0.07278354,0.397444232
OTAU006295-RA,232.1822774,-0.120538476,0.06719004,-1.793993211,0.072814252,0.397444232
OTAU006608-RA,1506.576553,0.142832258,0.079593366,1.794524653,0.072729467,0.397444232
OTAU007687-RA,74.27073814,-0.164843786,0.09186013,-1.794508507,0.072732042,0.397444232
OTAU008885-RA,719.7920975,0.10084515,0.056208853,1.794115072,0.072794804,0.397444232
OTAU009796-RA,218.4381348,-0.292504015,0.163045843,-1.793998605,0.072813392,0.397444232
OTAU016978-RA,32.19829498,-0.394507627,0.219923281,-1.793842038,0.072838385,0.397444232
OTAU001967-RA,3261.383669,-0.240773811,0.134254745,-1.793410074,0.072907378,0.397538611
OTAU008963-RA,473.6263737,-0.380613179,0.212229564,-1.793403204,0.072908476,0.397538611
OTAU002562-RA,152.2132588,0.178976402,0.099807209,1.793221197,0.072937562,0.397553269
OTAU004602-RA,73.32842095,-0.306855981,0.171204822,-1.792332584,0.073079707,0.398039922
OTAU013554-RA,211.848147,0.406523372,0.226800917,1.792423849,0.073065097,0.398039922
OTAU002017-RA,389.8399904,0.138096269,0.077155782,1.789836944,0.073480128,0.398220094
OTAU002379-RA,1293.932635,0.482417488,0.269618371,1.789260447,0.073572881,0.398220094
OTAU002805-RA,51.36476822,-0.222995996,0.124673803,-1.788635555,0.073673528,0.398220094
OTAU004311-RA,155.810912,-0.246240287,0.137561143,-1.790042464,0.073447085,0.398220094
OTAU004882-RA,0.702273438,0.475376342,0.265692317,1.789198678,0.073582824,0.398220094
OTAU005027-RA,282.3772708,0.137383052,0.076784181,1.789210371,0.073580942,0.398220094
OTAU007095-RA,1187.202954,0.320298598,0.178932298,1.790054687,0.07344512,0.398220094
OTAU008199-RA,474.3983749,0.140385126,0.078473425,1.788951183,0.073622678,0.398220094
OTAU008724-RA,126.2001075,0.215230971,0.12031649,1.788873427,0.073635202,0.398220094
OTAU010747-RA,1.517545706,-0.402764469,0.225188474,-1.788566091,0.073684723,0.398220094
OTAU010903-RA,270.9429387,0.099816437,0.055801313,1.788782943,0.073649779,0.398220094
OTAU010912-RA,1082.679407,0.090024882,0.050319845,1.789053231,0.073606243,0.398220094
OTAU011106-RA,192.1159855,0.376329995,0.210306966,1.789431903,0.073545285,0.398220094
OTAU011431-RA,54.02979211,-0.271193301,0.151480078,-1.79029021,0.073407269,0.398220094
OTAU011711-RA,354.2646862,0.09836769,0.054989696,1.788838595,0.073640813,0.398220094
OTAU011816-RA,2484.390903,0.158546805,0.088537875,1.790722947,0.073337765,0.398220094
OTAU012422-RA,298.8357345,0.304847428,0.170429794,1.788697974,0.073663469,0.398220094
OTAU013923-RA,3.440341327,0.476971841,0.266272617,1.791291372,0.07324655,0.398220094
OTAU014929-RA,18.58418118,-0.485299837,0.270828076,-1.791911107,0.073147207,0.398220094
OTAU015004-RA,8969.007708,0.177239667,0.099007476,1.790164488,0.073427472,0.398220094
OTAU016816-RA,2670.915763,0.342794288,0.191665231,1.788505337,0.073694515,0.398220094
OTAU017400-RA,1.860418015,-0.458693922,0.256157267,-1.790673081,0.073345772,0.398220094
OTAU005094-RA,353.2423486,-0.211726333,0.118449949,-1.787475082,0.073860736,0.398865494
OTAU006572-RA,418.1750702,0.256674671,0.143599301,1.78743677,0.073866923,0.398865494
OTAU001718-RA,490.5644729,0.128752907,0.07204082,1.787221557,0.073901686,0.398910178
OTAU003659-RA,312.5012733,0.113211613,0.06337753,1.786305242,0.074049849,0.399566721
OTAU012210-RA,1.824274396,-0.470416073,0.263421316,-1.785793499,0.0741327,0.399870508
OTAU002139-RA,52.07896621,-0.380558986,0.213144364,-1.78545179,0.074188064,0.399946747
OTAU011875-RA,259.5665977,0.333446513,0.186775489,1.785279822,0.07421594,0.399946747
OTAU012714-RA,295.3844095,-0.133522536,0.07479715,-1.785128645,0.074240453,0.399946747
OTAU016121-RA,37.51373954,0.48312778,0.270652103,1.785050898,0.074253061,0.399946747
OTAU004316-RA,374.0114116,0.095744931,0.053648559,1.784669185,0.074314992,0.400137212
OTAU002038-RA,7245.831614,0.059359458,0.033266381,1.784367761,0.074363926,0.400257587
OTAU001588-RA,215.632449,-0.234913334,0.131681192,-1.783955098,0.074430962,0.400332244
OTAU008792-RA,19.26149629,-0.324200432,0.181719102,-1.784074588,0.074411546,0.400332244
OTAU002240-RA,194.1139292,0.204620345,0.114724333,1.783582787,0.074491485,0.40051473
OTAU000300-RA,82.4594849,-0.172468459,0.096740751,-1.782790167,0.074620467,0.400571429
OTAU001491-RA,331.3031459,0.187568499,0.105215917,1.782700795,0.074635022,0.400571429
OTAU005971-RA,106.7391657,-0.14439714,0.080985718,-1.782995114,0.074587099,0.400571429
OTAU007135-RA,834.5784726,0.109219166,0.061254199,1.783047826,0.074578518,0.400571429
OTAU007980-RA,78.03023278,-0.483257654,0.270985254,-1.783335616,0.074531687,0.400571429
OTAU013804-RA,167.6718031,0.395687044,0.222080632,1.781726938,0.074793772,0.401280443
OTAU001501-RA,635.5321665,-0.202377107,0.113622084,-1.781142358,0.074889197,0.401392594
OTAU002668-RA,1184.629024,0.145217329,0.081519596,1.781379406,0.07485049,0.401392594
OTAU014305-RA,316.6799045,0.261202467,0.146651584,1.781109072,0.074894634,0.401392594
OTAU004862-RA,244.5356147,0.137817256,0.077398281,1.780624245,0.074973856,0.401674235
OTAU001117-RA,44.02257726,0.424449912,0.238646646,1.778570613,0.075310186,0.402075
OTAU001936-RA,166.0216972,0.182317018,0.102513949,1.77846059,0.075328239,0.402075
OTAU002310-RA,368.3817212,-0.133076211,0.074836332,-1.778230004,0.075366087,0.402075
OTAU002428-RA,745.3947588,0.38997931,0.219369951,1.777724381,0.075449133,0.402075
OTAU003234-RA,4743.10193,-0.202025247,0.113626111,-1.777982583,0.075406716,0.402075
OTAU003680-RA,167.8781131,-0.209186515,0.117561147,-1.77938477,0.075176702,0.402075
OTAU004058-RA,2.377043871,0.481845468,0.271022118,1.777882451,0.075423163,0.402075
OTAU005046-RA,1.515074544,0.458111872,0.257418709,1.779637048,0.075135379,0.402075
OTAU006518-RA,911.1962701,-0.310448633,0.174494,-1.779136437,0.075217396,0.402075
OTAU006848-RA,4252.902828,-0.3218398,0.18098041,-1.778312914,0.075352477,0.402075
OTAU011024-RA,1165.54869,0.12709021,0.071471374,1.778197372,0.075371444,0.402075
OTAU011341-RA,31.72776594,0.385105846,0.216445234,1.779229967,0.075202067,0.402075
OTAU012513-RA,563.3694045,-0.08800402,0.049477822,-1.778655907,0.075296192,0.402075
OTAU014713-RA,417.050908,-0.430324775,0.241969775,-1.778423671,0.075334298,0.402075
OTAU015745-RA,19.88498799,-0.318419834,0.179033536,-1.778548538,0.075313808,0.402075
OTAU000302-RA,96.29853882,0.397410304,0.223593682,1.777377163,0.075506206,0.402094574
OTAU012604-RA,719.3801105,-0.162492031,0.091419849,-1.777426159,0.07549815,0.402094574
OTAU003109-RA,960.1090376,-0.116607163,0.065623553,-1.77691022,0.075583013,0.402361318
OTAU009869-RA,2406.040652,0.13919708,0.078347431,1.776664249,0.075623498,0.402434585
OTAU007114-RA,812.3122032,0.156525613,0.088155958,1.775553426,0.075806552,0.402697241
OTAU007487-RA,206.17476,-0.105421047,0.059370579,-1.775644586,0.075791516,0.402697241
OTAU007544-RA,14.7414292,-0.323747331,0.182292081,-1.775981324,0.075735995,0.402697241
OTAU015380-RA,510.4072555,-0.467747656,0.263406575,-1.775763023,0.075771985,0.402697241
OTAU015604-RA,0.839568593,0.458169843,0.258018255,1.77572646,0.075778014,0.402697241
OTAU001198-RA,193.3394127,-0.363013301,0.204521386,-1.774940543,0.075907705,0.403092397
OTAU013694-RA,445.4595664,-0.412320708,0.232338076,-1.774658359,0.075954315,0.403197738
OTAU002195-RA,136.1613455,-0.134660398,0.075903097,-1.774109387,0.076045058,0.403199161
OTAU006359-RA,677.114763,-0.113809525,0.06417142,-1.773523551,0.076141993,0.403199161
OTAU007655-RA,362.1968197,0.128210699,0.072268592,1.77408603,0.076048921,0.403199161
OTAU009358-RA,1.921398525,-0.451043908,0.254276692,-1.773831113,0.07609109,0.403199161
OTAU010127-RA,32.44689154,-0.436665972,0.246193838,-1.773667351,0.07611819,0.403199161
OTAU011193-RA,374.8364474,-0.170588431,0.096161889,-1.7739713,0.076067898,0.403199161
OTAU013057-RA,1450.822149,0.100694858,0.056747628,1.774432913,0.07599157,0.403199161
OTAU016557-RA,170.3870797,-0.153524527,0.086580644,-1.773196871,0.07619609,0.403343803
OTAU016241-RA,798.239637,0.34476793,0.194548,1.772148416,0.076369924,0.404121944
OTAU005104-RA,976.7303711,0.079430553,0.044846605,1.771160902,0.076533949,0.40456345
OTAU007080-RA,679.4616459,-0.126910395,0.071646321,-1.771345606,0.076503248,0.40456345
OTAU012239-RA,429.4108293,-0.116673159,0.065872157,-1.771205988,0.076526454,0.40456345
OTAU010763-RA,151.6963688,-0.319909099,0.180682012,-1.770564184,0.076633202,0.404945975
OTAU004744-RA,3072.73197,0.450510446,0.254506425,1.770133881,0.076704841,0.405182357
OTAU007021-RA,3.321284751,-0.479711856,0.271045187,-1.769859342,0.076750575,0.40528179
OTAU014361-RA,2.637583333,0.44398542,0.250907109,1.769521089,0.076806955,0.405437342
OTAU002621-RA,9.514862372,-0.406867808,0.230018399,-1.768848968,0.076919082,0.405613854
OTAU005082-RA,1208.573312,-0.121639406,0.068782775,-1.768457385,0.07698447,0.405613854
OTAU005854-RA,1.038078389,0.363309596,0.205488077,1.768032492,0.077055472,0.405613854
OTAU010201-RA,57.37459046,0.381614414,0.215803039,1.768345871,0.0770031,0.405613854
OTAU011058-RA,1499.391219,-0.305374289,0.172727628,-1.767952775,0.077068799,0.405613854
OTAU013506-RA,4.697204435,-0.435449439,0.246311308,-1.767882451,0.077080557,0.405613854
OTAU015424-RA,1.787651315,-0.476659785,0.269557248,-1.768306318,0.077009708,0.405613854
OTAU016270-RA,4.50288318,-0.462412115,0.261480495,-1.768438273,0.076987663,0.405613854
OTAU016992-RA,1022.68816,0.294873312,0.166795898,1.767869085,0.077082792,0.405613854
OTAU000708-RA,125.8327231,0.289917799,0.164094816,1.766770005,0.077266754,0.406156131
OTAU008277-RA,104.7548394,0.315876015,0.178757601,1.767063406,0.07721761,0.406156131
OTAU011254-RA,41.34596818,0.219297886,0.124116632,1.766869456,0.077250093,0.406156131
OTAU014100-RA,554.8179865,0.119184208,0.0674747,1.76635404,0.077336471,0.406380756
OTAU002602-RA,459.5900933,0.257244145,0.145662222,1.766031996,0.077390481,0.406451888
OTAU008933-RA,428.6892657,-0.136571392,0.077335868,-1.765951505,0.077403985,0.406451888
OTAU008937-RA,83.97229692,0.410102861,0.232310438,1.765322575,0.077509568,0.406722678
OTAU016996-RA,0.688518577,-0.460413731,0.26078755,-1.765474354,0.077484077,0.406722678
OTAU002270-RA,2620.51907,-0.377351855,0.21382722,-1.764751257,0.07760558,0.407084651
OTAU008241-RA,499.5827156,-0.110215891,0.062463415,-1.764487132,0.07765,0.407175835
OTAU002072-RA,86.66396209,-0.19433801,0.110161773,-1.764114765,0.077712659,0.407339383
OTAU002463-RA,307.1064737,0.129444255,0.073381914,1.763980367,0.077735285,0.407339383
OTAU005054-RA,624.8376085,-0.112799274,0.063964023,-1.763479987,0.07781957,0.407639207
OTAU015006-RA,275.2892168,0.206929297,0.117352183,1.763318682,0.077846756,0.407639829
OTAU017348-RA,7.641479668,-0.471106325,0.267202652,-1.763104975,0.077882786,0.407686744
OTAU003588-RA,137.5162968,-0.169416806,0.096132645,-1.762323364,0.078014679,0.407847087
OTAU004293-RA,6470.54194,0.132705754,0.075292899,1.762526831,0.077980327,0.407847087
OTAU008979-RA,233.7186284,-0.428169657,0.242929554,-1.762526007,0.077980466,0.407847087
OTAU014735-RA,208.3407603,0.205524654,0.116624189,1.762281526,0.078021744,0.407847087
OTAU017136-RA,37.87919228,0.21626278,0.122795647,1.761159989,0.078211328,0.408696252
OTAU002777-RA,50.60510477,0.347968177,0.197611028,1.760874287,0.078259683,0.408707074
OTAU006220-RA,244.4110501,-0.206241599,0.117136195,-1.760699155,0.078289336,0.408707074
OTAU008874-RA,1143.420328,-0.299218175,0.169958169,-1.760540112,0.078316273,0.408707074
OTAU014557-RA,458.0044105,0.291802761,0.165749316,1.760506578,0.078321953,0.408707074
OTAU008936-RA,1591.315888,0.459852529,0.261339919,1.75959544,0.078476425,0.409322557
OTAU014842-RA,299.4159835,-0.269607947,0.153230706,-1.759490342,0.078494259,0.409322557
OTAU012901-RA,3914.940303,0.143760524,0.081740947,1.758733279,0.078622822,0.409851056
OTAU004291-RA,120.0438617,0.138310388,0.078674471,1.758008494,0.078746064,0.4101443
OTAU004973-RA,653.0222812,-0.209708716,0.119274891,-1.758196672,0.078714051,0.4101443
OTAU017427-RA,41.87463316,-0.45321651,0.257813773,-1.757922024,0.078760778,0.4101443
OTAU002302-RA,144.2178667,0.148777969,0.084670884,1.75713259,0.078895212,0.410702347
OTAU000286-RA,219.5165247,0.408476222,0.232515821,1.756767431,0.078957459,0.410884356
OTAU005434-RA,4744.223632,0.214466643,0.122105964,1.756397769,0.079020514,0.411070444
OTAU008212-RA,330.0932708,-0.165487637,0.094264587,-1.755565289,0.079162663,0.411530542
OTAU009789-RA,1446.655506,-0.113326453,0.064552889,-1.755559745,0.079163611,0.411530542
OTAU003180-RA,775.7892769,0.138201395,0.07877064,1.754478493,0.079348552,0.412349617
OTAU004477-RA,38.31456506,-0.275588707,0.157184706,-1.753279401,0.07955406,0.41327497
OTAU005726-RA,496.4336634,-0.292332799,0.166790442,-1.752695153,0.079654348,0.41365327
OTAU010668-RA,802.9535945,0.166313396,0.094908548,1.752354244,0.079712914,0.413814714
OTAU000112-RA,59.28842559,-0.451757625,0.258141742,-1.750037099,0.080111912,0.414191282
OTAU004338-RA,3441.970461,0.214929767,0.122773338,1.750622489,0.080010959,0.414191282
OTAU004347-RA,949.306557,0.378631562,0.21620875,1.751231448,0.07990605,0.414191282
OTAU005069-RA,472.3534487,0.199914736,0.114244512,1.749884808,0.080138193,0.414191282
OTAU008752-RA,122.3451086,-0.23735436,0.135553279,-1.751004194,0.079945188,0.414191282
OTAU009486-RA,1018.138501,0.076188027,0.0435151,1.750841127,0.07997328,0.414191282
OTAU009959-RA,860.9204759,0.139112602,0.07944882,1.750971278,0.079950858,0.414191282
OTAU010039-RA,1089.243909,0.103078302,0.058852228,1.751476629,0.079863844,0.414191282
OTAU010931-RA,769.8070595,0.132330515,0.075622439,1.749884245,0.08013829,0.414191282
OTAU011377-RA,19.5935725,-0.290427269,0.165971265,-1.749864766,0.080141652,0.414191282
OTAU014143-RA,366.7857956,0.156218957,0.089243913,1.750471848,0.080036928,0.414191282
OTAU014227-RA,1248.292241,0.146166446,0.083445199,1.751645952,0.079834706,0.414191282
OTAU015062-RA,1465.082937,0.13668282,0.07811085,1.749857026,0.080142988,0.414191282
OTAU008015-RA,988.7655651,0.46720599,0.267038672,1.749581759,0.08019051,0.414294709
OTAU008216-RA,2091.443645,0.096083748,0.054942934,1.748791731,0.080327027,0.414857689
OTAU010811-RA,4.886399617,-0.4490423,0.256798851,-1.748614912,0.080357607,0.414873349
OTAU001402-RA,3659.658233,-0.115089819,0.065847079,-1.747834841,0.08049263,0.415428038
OTAU000589-RA,10244.95572,0.135057996,0.077314868,1.746856714,0.080662196,0.415596051
OTAU002780-RA,405.6836793,0.188625666,0.107992068,1.74666222,0.080695948,0.415596051
OTAU003207-RA,386.884852,0.138983826,0.079571627,1.746650544,0.080697974,0.415596051
OTAU004692-RA,41.19460856,-0.212462916,0.121648375,-1.746533124,0.080718356,0.415596051
OTAU007891-RA,922.6625872,-0.113370969,0.06488604,-1.747232065,0.080597092,0.415596051
OTAU009012-RA,44.39551915,-0.217345443,0.124427007,-1.746770648,0.08067713,0.415596051
OTAU017438-RA,141.6059683,-0.469647435,0.268837144,-1.746958878,0.080644471,0.415596051
OTAU001569-RA,7454.357678,0.393455946,0.225303686,1.746336041,0.080752577,0.415630146
OTAU002670-RA,1239.396459,0.164378367,0.09416815,1.745583477,0.080883355,0.415838028
OTAU003529-RA,312.87293,-0.213086716,0.122048138,-1.745923532,0.08082424,0.415838028
OTAU004439-RA,10.49289427,-0.331962412,0.190152046,-1.745773548,0.080850309,0.415838028
OTAU005236-RA,41.83520334,-0.219852639,0.12595626,-1.745468135,0.080903414,0.415838028
OTAU015733-RA,1.095290917,-0.467363592,0.267801893,-1.745184046,0.080952837,0.415950096
OTAU009145-RA,51.50638093,-0.253623514,0.145380892,-1.744545042,0.081064094,0.416308907
OTAU012802-RA,442.7079042,-0.221125778,0.126758472,-1.744465476,0.081077956,0.416308907
OTAU009146-RA,267.2354648,0.466407554,0.26739868,1.744240301,0.081117197,0.416368433
OTAU001323-RA,2856.769136,-0.219748447,0.126042433,-1.743448146,0.081255365,0.416384279
OTAU004320-RA,7706.622701,0.118180569,0.0677924,1.743271656,0.081286174,0.416384279
OTAU006051-RA,606.8633476,-0.436470747,0.250331976,-1.743567699,0.0812345,0.416384279
OTAU006224-RA,1336.372326,0.08985084,0.051539904,1.743325695,0.081276739,0.416384279
OTAU006373-RA,144.3792422,-0.156042331,0.089488827,-1.743707414,0.081210122,0.416384279
OTAU007111-RA,387.8490097,-0.117566086,0.067429656,-1.743536805,0.081239891,0.416384279
OTAU016474-RA,28.97755176,-0.304421873,0.174680178,-1.742738511,0.081379301,0.416719578
OTAU008616-RA,1288.60073,0.164358822,0.094334493,1.742298249,0.08145627,0.416971931
OTAU017396-RA,3.396251259,-0.422589207,0.242581826,-1.742048092,0.081500029,0.417054177
OTAU002256-RA,138.9127067,0.467886271,0.268665006,1.741522941,0.081591956,0.41718196
OTAU006651-RA,362.062865,0.20164613,0.115795108,1.741404577,0.081612686,0.41718196
OTAU013713-RA,175.7661557,0.460156559,0.264264514,1.741272605,0.081635806,0.41718196
OTAU017376-RA,487.4609858,0.139169113,0.07990997,1.741573833,0.081583043,0.41718196
OTAU001839-RA,795.180003,0.110513088,0.063516376,1.73991489,0.081873964,0.417973523
OTAU004695-RA,292.4061909,-0.456164094,0.262168479,-1.739965447,0.081865085,0.417973523
OTAU009443-RA,513.6956924,-0.099939585,0.057433355,-1.740096577,0.081842061,0.417973523
OTAU002731-RA,2988.051162,-0.12743387,0.073248248,-1.739753151,0.081902372,0.417976863
OTAU007184-RA,19.77141069,-0.394565863,0.226876278,-1.739123486,0.082013044,0.418286398
OTAU011127-RA,26.61405732,-0.276903324,0.159222926,-1.739092041,0.082018574,0.418286398
OTAU012545-RA,607.2729796,0.123241948,0.070873153,1.73890879,0.082050808,0.418309129
OTAU007252-RA,6.603907379,-0.333688788,0.191943679,-1.7384724,0.082127609,0.418558983
OTAU002709-RA,742.7538078,-0.106882685,0.061487606,-1.73828014,0.082161464,0.418589868
OTAU002135-RA,534.9188151,-0.142439104,0.081952419,-1.738070773,0.082198344,0.418636139
OTAU004922-RA,11.51453277,0.403168862,0.232120378,1.736895593,0.082405602,0.419124741
OTAU008422-RA,44.62166795,0.457493459,0.263363862,1.737115549,0.082366777,0.419124741
OTAU011936-RA,5729.959867,-0.13857224,0.079763663,-1.737285301,0.082336825,0.419124741
OTAU013503-RA,32.8948813,-0.35126209,0.202235276,-1.736898215,0.082405139,0.419124741
OTAU010502-RA,244.9420269,-0.141611764,0.081551172,-1.736477374,0.082479462,0.419358776
OTAU004411-RA,2107.049103,0.178732509,0.102940482,1.73627037,0.08251604,0.419399462
OTAU006642-RA,393.8012016,0.085613244,0.049314476,1.736067194,0.082551954,0.419399462
OTAU013576-RA,306.2380044,0.097998488,0.056452062,1.735959422,0.08257101,0.419399462
OTAU004572-RA,1377.74086,-0.091289326,0.052606781,-1.735314807,0.08268506,0.419605406
OTAU006016-RA,652.4274704,-0.31459347,0.181294941,-1.735257858,0.082695143,0.419605406
OTAU014140-RA,470.6102266,0.103330067,0.059538635,1.735512878,0.082650002,0.419605406
OTAU009341-RA,490.8902277,-0.184895781,0.106571467,-1.734946387,0.082750302,0.419628286
OTAU012377-RA,1.794680247,0.470193481,0.27101774,1.734917725,0.082755379,0.419628286
OTAU004828-RA,13920.53415,0.272991523,0.157379009,1.734612036,0.082809546,0.419761618
OTAU003524-RA,736.8736478,-0.202551408,0.116817148,-1.733918455,0.082932553,0.42024369
OTAU012752-RA,2.621796305,-0.469547822,0.27087921,-1.733421409,0.083020795,0.420549335
OTAU015051-RA,1610.762352,0.12026738,0.06942569,1.732318118,0.083216938,0.421279222
OTAU016333-RA,1.570829481,-0.468333804,0.270354337,-1.732296252,0.083220829,0.421279222
OTAU000598-RA,205.3251791,0.27384562,0.158169773,1.73133978,0.08339118,0.421291908
OTAU001352-RA,281.9350254,-0.237146574,0.136938489,-1.73177443,0.083313732,0.421291908
OTAU012366-RA,4.964855778,0.468165067,0.270382635,1.731490883,0.08336425,0.421291908
OTAU015125-RA,215.2260012,-0.430122722,0.248410147,-1.731502227,0.083362228,0.421291908
OTAU016027-RA,2991.270508,-0.159177669,0.091897939,-1.732113597,0.083253339,0.421291908
OTAU016603-RA,650.0453322,0.071689136,0.041402006,1.731537737,0.0833559,0.421291908
OTAU015791-RA,405.9164723,-0.257760637,0.148912686,-1.7309515,0.083460415,0.421358985
OTAU016671-RA,82680.14329,-0.219235095,0.126653001,-1.730990133,0.083453524,0.421358985
OTAU009686-RA,6525.648166,0.085079557,0.049162458,1.730579808,0.083526736,0.421552493
OTAU005038-RA,1623.05961,0.246100414,0.142246826,1.730094242,0.083613439,0.421735426
OTAU005602-RA,393.3094898,0.106725771,0.061703326,1.729659935,0.083691051,0.421735426
OTAU007824-RA,5.390374848,-0.442110059,0.255591471,-1.729752789,0.083674453,0.421735426
OTAU011117-RA,239.5602066,0.22471728,0.129936132,1.729444125,0.083729639,0.421735426
OTAU014834-RA,1.399244167,-0.445265332,0.257440208,-1.729587371,0.083704024,0.421735426
OTAU016436-RA,178.5836152,-0.142647699,0.082482184,-1.729436488,0.083731004,0.421735426
OTAU006636-RA,266.7715057,0.116527084,0.06739684,1.728969542,0.083814546,0.422015068
OTAU013014-RA,352.0211448,0.438569675,0.253737004,1.728441924,0.083909025,0.422349569
OTAU009068-RA,18.73104668,-0.32170395,0.186201118,-1.727722977,0.084037902,0.422856934
OTAU003487-RA,1234.436434,-0.307230057,0.177853198,-1.72743622,0.08408935,0.422974488
OTAU006012-RA,740.5701054,0.165487735,0.095810042,1.727248323,0.084123076,0.423002844
OTAU014840-RA,626.6252282,0.116292208,0.067334888,1.727072125,0.084154711,0.423020677
OTAU006411-RA,0.943245083,-0.460861812,0.266925371,-1.726556794,0.084247291,0.423344746
OTAU006528-RA,573.3050012,-0.119656375,0.06932113,-1.726116902,0.084326384,0.423600847
OTAU007783-RA,817.9375987,0.102032122,0.059128051,1.725612787,0.084417097,0.423915134
OTAU002963-RA,446.8084929,0.131976983,0.076498324,1.725227131,0.084486548,0.424122471
OTAU004090-RA,317.97806,-0.213919348,0.124013593,-1.724966942,0.08453343,0.424216414
OTAU001378-RA,1062.426337,0.221711624,0.128558244,1.72460059,0.084599477,0.424406437
OTAU005047-RA,7429.561973,0.122755374,0.07119883,1.724120659,0.084686063,0.424416677
OTAU006855-RA,87.69383259,0.166566239,0.096605745,1.724185649,0.084674334,0.424416677
OTAU010742-RA,6.131540702,0.356616189,0.206814921,1.724325246,0.084649144,0.424416677
OTAU001534-RA,44.42658366,-0.168403698,0.097697343,-1.723728548,0.084756859,0.424630171
OTAU000227-RA,13.46501817,0.297280934,0.172484942,1.723518182,0.08479486,0.424679279
OTAU000412-RA,1181.951031,0.125831246,0.073136239,1.720504734,0.085340734,0.424791806
OTAU001187-RA,686.7936963,0.298806702,0.173595729,1.72127911,0.085200188,0.424791806
OTAU001430-RA,230.2639929,-0.234645274,0.136525497,-1.718691954,0.085670478,0.424791806
OTAU001868-RA,500.6759529,-0.091088323,0.052887475,-1.722304253,0.085014418,0.424791806
OTAU002495-RA,64.32204674,-0.196743031,0.114359865,-1.720385303,0.085362427,0.424791806
OTAU002585-RA,15.01658429,-0.465821029,0.271020304,-1.71876801,0.085656623,0.424791806
OTAU002751-RA,60.74057042,-0.247197751,0.14380964,-1.718923373,0.085628326,0.424791806
OTAU002961-RA,71.85992105,-0.242263451,0.140860319,-1.719884297,0.085453475,0.424791806
OTAU003405-RA,1.529727741,-0.458592748,0.266844404,-1.718577348,0.085691359,0.424791806
OTAU003978-RA,590.0187076,0.45842586,0.26647178,1.720354251,0.085368068,0.424791806
OTAU004875-RA,582.5542902,0.463978374,0.269530807,1.721429842,0.085172853,0.424791806
OTAU005000-RA,355.5464913,-0.297230448,0.172857691,-1.719509539,0.085521632,0.424791806
OTAU006931-RA,2.19965773,0.456016838,0.265349209,1.7185536,0.085695687,0.424791806
OTAU007518-RA,103.3978739,-0.160321153,0.09304822,-1.722990007,0.084890332,0.424791806
OTAU007651-RA,409.453158,0.144384756,0.083972445,1.719430179,0.085536071,0.424791806
OTAU008213-RA,4547.324886,0.212025876,0.12324435,1.720369952,0.085365215,0.424791806
OTAU008579-RA,311.9619762,0.165087085,0.0959239,1.721021399,0.085246941,0.424791806
OTAU009631-RA,9.474619153,-0.461575463,0.268511199,-1.719017549,0.085611176,0.424791806
OTAU009748-RA,571.4830305,-0.200755566,0.116549139,-1.722497201,0.084979489,0.424791806
OTAU010261-RA,1.315270398,0.456201358,0.265482326,1.718386922,0.085726064,0.424791806
OTAU010400-RA,1.379327139,-0.352824475,0.204749212,-1.723203096,0.084851804,0.424791806
OTAU010592-RA,1.832163113,-0.451673072,0.262317825,-1.721854287,0.085095918,0.424791806
OTAU010759-RA,533.6442973,-0.158764546,0.092217464,-1.721632089,0.085136186,0.424791806
OTAU010781-RA,397.0989836,-0.164428383,0.09558564,-1.720220561,0.085392357,0.424791806
OTAU010894-RA,437.2577834,-0.465794766,0.27037071,-1.722800395,0.084924627,0.424791806
OTAU011109-RA,2.321247159,-0.465172774,0.270463541,-1.719909355,0.08544892,0.424791806
OTAU011161-RA,325.9798918,0.434778196,0.253033145,1.718265787,0.085748147,0.424791806
