,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OTAU004038-RA,2134.43557344903,1.4832010448954,0.391196523037932,3.79144741210182,0.000149771864146445,0.0300014439865922
OTAU015564-RA,276.814061792606,-0.613282700375869,0.162332176505812,-3.77794910150736,0.000158125184990069,0.0312286104778978
OTAU000563-RA,615.935478049394,0.720574142597654,0.19115123701309,3.76965461410176,0.000163473613490149,0.0314003699775188
OTAU004151-RA,240.860523032145,1.83010444891492,0.485212828463165,3.77175610692628,0.000162102662213043,0.0314003699775188
OTAU010108-RA,263.541130488193,-0.892596716906311,0.237920309412571,-3.75166255924157,0.000175665795725874,0.0332862944279487
OTAU004095-RA,217.717549410419,1.26233553995252,0.337775229618481,3.73720577846496,0.000186076632394611,0.034492553664658
OTAU010142-RA,470.228887140292,-0.959653149265681,0.256864702172422,-3.73602577991237,0.00018695151037755,0.034492553664658
OTAU015998-RA,3.35682928830069,-3.96242410359017,1.06274815078437,-3.72846953501229,0.000192646192385807,0.0350816222030362
OTAU007716-RA,183.737162721858,0.838664774216929,0.225645116988235,3.71674240245427,0.000201808015444545,0.0356329414153965
OTAU011704-RA,26.1669985089994,-2.06524559738114,0.556874900730591,-3.70863473047833,0.000208379774359044,0.0356329414153965
OTAU012808-RA,1105.14236011653,-2.56925582871198,0.692228329648882,-3.71157278410605,0.000205975421217657,0.0356329414153965
OTAU014876-RA,251.084655459843,2.14470042980276,0.576506573020715,3.72016648234416,0.000199091496495076,0.0356329414153965
OTAU015524-RA,16.9708121049045,-2.44616573807416,0.658635552736625,-3.7139898201826,0.000204017004073643,0.0356329414153965
OTAU016505-RA,18.9792392683166,1.93265060291059,0.522062846689325,3.70195009119409,0.000213948710018701,0.0361444435166533
OTAU006366-RA,153.192316542357,-1.01239712693335,0.274109508929611,-3.69340389133791,0.000221272160903274,0.0369366457164965
OTAU000628-RA,3086.42739764399,0.34185310515673,0.0930756518058975,3.67285212108576,0.000239858301544709,0.0395681541677636
OTAU007098-RA,117.572982189508,2.74200151689842,0.748398688906068,3.66382458647328,0.000248476985453233,0.0405133056979678
OTAU014686-RA,603.660907801036,1.95666131384084,0.536015128887355,3.65038449176317,0.000261848045009512,0.0422026814611883
OTAU007850-RA,182.678832281667,-0.82436965970841,0.226269607180964,-3.6433070706182,0.000269157415227262,0.0428824764060247
OTAU014527-RA,19.9900685568329,5.14534702894946,1.41338962070787,3.64043074433538,0.000272182313517059,0.0428824764060247
OTAU009746-RA,996.533851326485,0.519295152210749,0.143315775778987,3.62343328491328,0.000290718215195696,0.0452938979274894
OTAU010247-RA,50.7050656274,-2.34270895772421,0.647314402827265,-3.61912070470238,0.000295605740774463,0.0455492713971375
OTAU002006-RA,711.975615109291,0.537806348754743,0.149019590781897,3.60896406930729,0.000307422181050058,0.0468551502465642
OTAU007838-RA,21.2952577633858,-1.99450882420591,0.554488863328781,-3.59702233194047,0.000321880858087954,0.048531326796874
OTAU009949-RA,744.726029953783,-2.240556414301,0.624648538312662,-3.58690731967984,0.000334623190270218,0.0497528747608324
OTAU010671-RA,263.72082104705,-0.450969691465555,0.125793522552748,-3.58499930929635,0.000337079097295612,0.0497528747608324
OTAU006082-RA,237.744169326643,-1.46828960208495,0.410273714429494,-3.5788049549474,0.000345168943220639,0.0504162387691645
OTAU000534-RA,48.8113339858034,-0.884149482076889,0.247876494228939,-3.56689521863371,0.000361235836395277,0.0507520747791809
OTAU001768-RA,306.278470399689,-0.444467955927704,0.124630519060455,-3.56628504220627,0.000362077541456767,0.0507520747791809
OTAU008931-RA,160.320515830932,-0.992778446974,0.27897827128578,-3.55862283610259,0.000372804428915678,0.0507520747791809
OTAU009430-RA,38.0513714843232,-1.91954365383645,0.538249057528784,-3.56627406399833,0.00036209270207579,0.0507520747791809
OTAU014326-RA,22.7172162057473,-3.31189467201295,0.93006662564268,-3.56092196053634,0.000369554916033708,0.0507520747791809
OTAU014612-RA,17.0007250141513,-3.56057351651419,0.999595254171803,-3.56201522731742,0.000368019032977774,0.0507520747791809
OTAU015156-RA,143.873154398535,-2.22150017980897,0.622992493615485,-3.56585384667587,0.000362673457642894,0.0507520747791809
OTAU014841-RA,3651.87201665498,-3.52037377013494,0.991024725530996,-3.55225624491731,0.00038194271284915,0.0514961607651037
OTAU016151-RA,1450.32496443751,1.01144576658233,0.286558870057837,3.52962644771104,0.000416146788170169,0.0555734310830677
OTAU002256-RA,138.912706677616,3.22186841493839,0.915241162325444,3.52023985323416,0.000431156711891534,0.0564012775803706
OTAU006812-RA,1081.59383897583,0.627490768723693,0.178477506251248,3.51579749125561,0.000438435262891199,0.0564012775803706
OTAU015225-RA,57.9013418585436,-2.35064695270364,0.668454935693612,-3.51653765599699,0.000437214636101638,0.0564012775803706
OTAU017263-RA,4.79280897798515,-5.26581921316545,1.49750470630911,-3.51639576889483,0.000437448380113977,0.0564012775803706
OTAU012595-RA,1011.21125795279,-0.53823243653482,0.153219081833429,-3.5128290164273,0.000443362692949436,0.0565166516412454
OTAU001108-RA,1271.30064352217,-4.12572982193717,1.17696128234738,-3.50540827792452,0.000455907560559083,0.0565728833111456
OTAU006300-RA,169.946058662719,0.767879975708885,0.218944725806367,3.5071864502824,0.000452871712283693,0.0565728833111456
