gene,neglogpval
OTAU003111-RA,6.41758396845088
OTAU004086-RA,6.40856714902641
OTAU008034-RA,6.37279179494062
OTAU008989-RA,6.37248742042958
OTAU009900-RA,6.38068412902339
OTAU005719-RA,6.34156351022442
OTAU014710-RA,6.34576252896115
OTAU002874-RA,6.33667776433333
OTAU003053-RA,6.32091205465773
OTAU005947-RA,6.31391647395809
OTAU008579-RA,6.28881887610325
OTAU010888-RA,6.29286737190137
OTAU011229-RA,6.29755724267881
OTAU016974-RA,6.27838966449246
OTAU008025-RA,6.25162066942617
OTAU014929-RA,6.24728393632422
OTAU002488-RA,6.24090593971668
OTAU013675-RA,6.21715624778333
OTAU002011-RA,6.20677564394694
OTAU016955-RA,6.20633160630616
OTAU002822-RA,6.20150986046879
OTAU002849-RA,6.17584298778898
OTAU004458-RA,6.18175527719671
OTAU005056-RA,6.17672595125139
OTAU007477-RA,6.18267432435289
OTAU007835-RA,6.17965713424854
OTAU009945-RA,6.19128400272599
OTAU010738-RA,6.15994254145397
OTAU006393-RA,6.15297829725484
OTAU000843-RA,6.13137550358507
OTAU007262-RA,6.13724815505011
OTAU016203-RA,6.13390121029998
OTAU001600-RA,6.11029523550969
OTAU002133-RA,6.06184321870951
OTAU003558-RA,6.07948055800802
OTAU003926-RA,6.06385995903439
OTAU007243-RA,6.07704399374767
OTAU007836-RA,6.07972645642752
OTAU011028-RA,6.06174952651337
OTAU011725-RA,6.07221209795674
OTAU014785-RA,6.07620043480678
OTAU015275-RA,6.0602525761524
OTAU002797-RA,6.05495568585845
OTAU000062-RA,6.00878264905873
OTAU000416-RA,5.9879384411309
OTAU006275-RA,5.99965736489632
OTAU006699-RA,6.01674844216892
OTAU007057-RA,5.9864705677078
OTAU009223-RA,6.0361584507682
OTAU009643-RA,5.9911306610027
OTAU010826-RA,5.99645752113954
OTAU011461-RA,5.99482722872883
OTAU011505-RA,5.98484939796788
OTAU012960-RA,5.98180137556044
OTAU013418-RA,6.02866921373745
OTAU013673-RA,6.02871623312186
OTAU015464-RA,6.01347595724324
OTAU015854-RA,6.02930779441314
OTAU016030-RA,5.98865389298273
OTAU016341-RA,6.01268179185105
OTAU015428-RA,5.94726059925121
OTAU015060-RA,5.93735086157226
OTAU003091-RA,5.9317350141911
OTAU011147-RA,5.92833774542735
OTAU008849-RA,5.92412246376467
OTAU011391-RA,5.91261264194903
OTAU016192-RA,5.91460670348471
OTAU002805-RA,5.89846740191366
OTAU006041-RA,5.89933604340831
OTAU008370-RA,5.90489222592218
OTAU009194-RA,5.88708601864759
OTAU010471-RA,5.88809038861277
OTAU001394-RA,5.84615961101772
OTAU007703-RA,5.86149551169212
OTAU007821-RA,5.85142409700891
OTAU008588-RA,5.84631589407722
OTAU008893-RA,5.86254913284056
OTAU009556-RA,5.87848245337238
OTAU009713-RA,5.85248509762584
OTAU011284-RA,5.87324919091326
OTAU012640-RA,5.85037742121477
OTAU013255-RA,5.8547335305464
OTAU017162-RA,5.8579048673537
OTAU003330-RA,5.83425101203602
OTAU001799-RA,5.83000098847021
OTAU000850-RA,5.81314262208099
OTAU013564-RA,5.8137565417331
OTAU006504-RA,5.80772886178101
OTAU006498-RA,5.78386439736371
OTAU006724-RA,5.7923463263866
OTAU007168-RA,5.78398778331708
OTAU009144-RA,5.7939129594685
OTAU013109-RA,5.79228747763543
OTAU014117-RA,5.78527203353582
OTAU010737-RA,5.76244149667017
OTAU001231-RA,5.74988602609319
OTAU004967-RA,5.74870839899
OTAU006333-RA,5.74265382324132
OTAU014747-RA,5.7372168660543
OTAU005877-RA,5.72177859588882
OTAU010977-RA,5.69502151573096
OTAU001762-RA,5.69004022583198
OTAU002044-RA,5.68767375974055
OTAU002511-RA,5.67062342321324
OTAU005717-RA,5.67833837238046
OTAU014525-RA,5.675905504664
OTAU015760-RA,5.67349269738759
OTAU001341-RA,5.6667396035849
OTAU004521-RA,5.65908137050401
OTAU008689-RA,5.65623743736423
OTAU007740-RA,5.63463765376392
OTAU009432-RA,5.63778830770389
OTAU014190-RA,5.63142030018428
OTAU015444-RA,5.6315620543204
OTAU001257-RA,5.61652370973798
OTAU010810-RA,5.61565711434208
OTAU005058-RA,5.60543451432687
OTAU016666-RA,5.60445905899137
OTAU004879-RA,5.57376550948142
OTAU006522-RA,5.56783501803994
OTAU006817-RA,5.5669014023254
OTAU012601-RA,5.56752486011774
OTAU002927-RA,5.5577646611005
OTAU011998-RA,5.55945577311483
OTAU005556-RA,5.55106792117892
OTAU006204-RA,5.54868032664859
OTAU016413-RA,5.54883209437668
OTAU009212-RA,5.54138853754832
OTAU013551-RA,5.53932779138388
OTAU006568-RA,5.531845378516
OTAU003198-RA,5.52011302804784
OTAU001441-RA,5.50917992571729
OTAU009115-RA,5.51113910782695
OTAU004761-RA,5.50096462558017
OTAU010365-RA,5.49301089128535
OTAU014980-RA,5.49006717128628
OTAU012906-RA,5.48698960418155
OTAU008130-RA,5.47903953636695
OTAU009839-RA,5.47785378250812
OTAU010547-RA,5.47962248272893
OTAU000058-RA,5.45758879824501
OTAU001841-RA,5.47141472796215
OTAU002576-RA,5.4697113576072
OTAU003652-RA,5.45777759276216
OTAU006151-RA,5.45898240249232
OTAU006980-RA,5.45748889729867
OTAU010458-RA,5.45852601316383
OTAU016438-RA,5.45285955871478
OTAU013417-RA,5.44963119611105
OTAU000131-RA,5.42399920607417
OTAU004209-RA,5.42825392791287
OTAU004596-RA,5.43554184240741
OTAU011375-RA,5.42641622544124
OTAU014487-RA,5.42469447780007
OTAU015413-RA,5.43561626025747
OTAU017135-RA,5.4316316589411
OTAU005694-RA,5.41485311424507
OTAU008540-RA,5.41707355571822
OTAU014285-RA,5.41672632975184
OTAU004865-RA,5.41130846646871
OTAU010464-RA,5.40379174884114
OTAU002786-RA,5.39137830394784
OTAU003755-RA,5.3900155095809
OTAU007025-RA,5.39137395464314
OTAU004692-RA,5.37892367847112
OTAU013547-RA,5.37026054368013
OTAU001296-RA,5.35059564654335
OTAU014749-RA,5.34724481932015
OTAU017197-RA,5.34314506757116
OTAU013822-RA,5.33838281136406
OTAU005276-RA,5.3290656392766
OTAU006657-RA,5.32434345634088
OTAU000272-RA,5.31790558885892
OTAU017150-RA,5.31402342416102
OTAU010811-RA,5.3103340613494
OTAU001621-RA,5.30731256342684
OTAU000110-RA,5.29316842535502
OTAU004260-RA,5.29800114172072
OTAU005048-RA,5.29140790666063
OTAU011134-RA,5.29469376742955
OTAU016870-RA,5.29726527765921
OTAU008469-RA,5.28521895930087
OTAU015414-RA,5.27567492380753
OTAU006675-RA,5.26896622785863
OTAU016761-RA,5.27120745091809
OTAU005369-RA,5.25285549361186
OTAU006040-RA,5.25383753193718
OTAU009882-RA,5.26042839616661
OTAU013795-RA,5.25760980890909
OTAU016750-RA,5.25425479869056
OTAU002989-RA,5.24625066940691
OTAU004409-RA,5.23962019950316
OTAU012638-RA,5.24273702525341
OTAU013348-RA,5.24227615209349
OTAU016597-RA,5.23928698244071
OTAU000400-RA,5.22702054893658
OTAU005478-RA,5.22553094088739
OTAU005581-RA,5.22584014223919
OTAU012001-RA,5.23391277521697
OTAU014947-RA,5.22940728369516
OTAU005954-RA,5.22305329516631
OTAU008217-RA,5.21444598125483
OTAU008830-RA,5.21365805536265
OTAU009740-RA,5.21793216435385
OTAU003391-RA,5.20907570743842
OTAU000295-RA,5.19780073443355
OTAU001760-RA,5.18512290455332
OTAU003320-RA,5.20147322203631
OTAU004710-RA,5.18968621825157
OTAU006310-RA,5.18788634376361
OTAU008071-RA,5.2001651312614
OTAU010482-RA,5.18720678532499
OTAU012819-RA,5.20070253622773
OTAU013604-RA,5.19287056057453
OTAU016461-RA,5.18742004867715
OTAU000702-RA,5.18222543471847
OTAU007461-RA,5.17769279578934
OTAU012294-RA,5.1778826409942
