CHROM,pvalue
OTAU001893-RA,0.000275098
OTAU003470-RA,0.000284912
OTAU015822-RA,0.000292847
OTAU006334-RA,0.000297066
OTAU002862-RA,0.000303903
OTAU005875-RA,0.000309312
OTAU013850-RA,0.000320999
OTAU006332-RA,0.000330712
OTAU013175-RA,0.000329534
OTAU016438-RA,0.000331457
OTAU014190-RA,0.000337043
OTAU001779-RA,0.000341998
OTAU013600-RA,0.000343399
OTAU007200-RA,0.000351639
OTAU001592-RA,0.000359279
OTAU011744-RA,0.000359763
OTAU009713-RA,0.000363244
OTAU003293-RA,0.000371494
OTAU009900-RA,0.000372088
OTAU003328-RA,0.000387879
OTAU015464-RA,0.000386542
OTAU012795-RA,0.00039432
OTAU000330-RA,0.000399831
OTAU000692-RA,0.000426756
OTAU012235-RA,0.000426311
OTAU003391-RA,0.000433628
OTAU004456-RA,0.000438063
OTAU007262-RA,0.000444048
OTAU000850-RA,0.000456283
OTAU008711-RA,0.000454471
OTAU016143-RA,0.000461444
OTAU004161-RA,0.000472694
OTAU001645-RA,0.000477277
OTAU008035-RA,0.000482597
OTAU001961-RA,0.00049252
OTAU015101-RA,0.000498616
OTAU016421-RA,0.000500843
OTAU009954-RA,0.000503958
OTAU000266-RA,0.00051824
OTAU004436-RA,0.00051841
OTAU007057-RA,0.000515922
OTAU010930-RA,0.000517956
OTAU011023-RA,0.000510324
OTAU005566-RA,0.000524197
OTAU005551-RA,0.000527406
OTAU006369-RA,0.000531064
OTAU003618-RA,0.000542018
OTAU000727-RA,0.00054823
OTAU007208-RA,0.000548715
OTAU013814-RA,0.000552879
OTAU004086-RA,0.000561604
OTAU004753-RA,0.000572183
OTAU015793-RA,0.000571339
OTAU015448-RA,0.000578164
OTAU017196-RA,0.000578176
OTAU000257-RA,0.000585585
OTAU004935-RA,0.000594642
OTAU009554-RA,0.000598916
OTAU009601-RA,0.000601969
OTAU017428-RA,0.000604844
OTAU011510-RA,0.000608951
OTAU010770-RA,0.000619336
OTAU000699-RA,0.000623031
OTAU001889-RA,0.000635176
OTAU012116-RA,0.000650778
OTAU000534-RA,0.000666779
OTAU002093-RA,0.000672216
OTAU007835-RA,0.000668219
OTAU008703-RA,0.00066046
OTAU012231-RA,0.000662939
OTAU015204-RA,0.000671087
OTAU016461-RA,0.00066725
OTAU017440-RA,0.000665059
OTAU014326-RA,0.000678448
OTAU002011-RA,0.000685204
OTAU000213-RA,0.00070103
OTAU012701-RA,0.000700697
OTAU013433-RA,0.000700115
OTAU000702-RA,0.000710971
OTAU001296-RA,0.000713479
OTAU008831-RA,0.000709636
OTAU015061-RA,0.000719887
OTAU003442-RA,0.000730311
OTAU005505-RA,0.000737968
OTAU015275-RA,0.000737586
OTAU010223-RA,0.000752024
OTAU013799-RA,0.000760832
OTAU010358-RA,0.000763768
OTAU001041-RA,0.000777636
OTAU010918-RA,0.000783717
OTAU001546-RA,0.000794749
OTAU003242-RA,0.000793498
OTAU007430-RA,0.000793863
OTAU017258-RA,0.00079629
OTAU015188-RA,0.000802679
OTAU010965-RA,0.000806821
OTAU010547-RA,0.000814019
OTAU012656-RA,0.000816327
OTAU013523-RA,0.000814517
OTAU004806-RA,0.000835904
OTAU012921-RA,0.000842703
OTAU009657-RA,0.000868287
OTAU013258-RA,0.000870883
OTAU014749-RA,0.000870407
OTAU016290-RA,0.000862561
OTAU002960-RA,0.000881775
OTAU008397-RA,0.000884078
OTAU015240-RA,0.00088957
OTAU006614-RA,0.00089306
OTAU017150-RA,0.000897718
OTAU014672-RA,0.000903391
OTAU008065-RA,0.000910251
OTAU006022-RA,0.000918642
OTAU012539-RA,0.000919602
OTAU013810-RA,0.00092273
OTAU009556-RA,0.000939274
OTAU014946-RA,0.000937888
OTAU016818-RA,0.000943651
OTAU005928-RA,0.000948525
OTAU003225-RA,0.000959563
OTAU011009-RA,0.000967737
OTAU010000-RA,0.000972198
OTAU005939-RA,0.000998448
OTAU008425-RA,0.000994464
OTAU010092-RA,0.001000862
OTAU014065-RA,0.000995586
OTAU004209-RA,0.001020141
OTAU006222-RA,0.001025904
OTAU008689-RA,0.001017895
OTAU013347-RA,0.001019962
OTAU014747-RA,0.001023438
OTAU016007-RA,0.001030737
OTAU016224-RA,0.001030894
OTAU008970-RA,0.001037758
OTAU008286-RA,0.001044575
OTAU013051-RA,0.001042993
OTAU004025-RA,0.001057271
OTAU001939-RA,0.001060791
OTAU003198-RA,0.001073144
OTAU011229-RA,0.001071261
OTAU012906-RA,0.001072084
OTAU000291-RA,0.001081378
OTAU013116-RA,0.001080531
OTAU014048-RA,0.001087581
OTAU013958-RA,0.001093373
OTAU015803-RA,0.001094351
OTAU006007-RA,0.001102878
OTAU015854-RA,0.001102777
OTAU012888-RA,0.001138466
OTAU015044-RA,0.001135985
OTAU015089-RA,0.001138572
OTAU001519-RA,0.001152969
OTAU003417-RA,0.001150047
OTAU011020-RA,0.001147692
OTAU007854-RA,0.001166237
OTAU005019-RA,0.001177585
OTAU005954-RA,0.001171804
OTAU017057-RA,0.001174701
OTAU003440-RA,0.001190688
OTAU009207-RA,0.001199305
OTAU002546-RA,0.00120582
OTAU007461-RA,0.001229236
OTAU010365-RA,0.001241127
OTAU013160-RA,0.001235024
OTAU013178-RA,0.00123997
OTAU015167-RA,0.001253108
OTAU003111-RA,0.001261622
OTAU011995-RA,0.001260374
OTAU007168-RA,0.001272463
OTAU007632-RA,0.001318225
OTAU007785-RA,0.001326795
