CHROM,pvalue
OTAU007551-RA,0.061604101
OTAU009771-RA,0.061793226
OTAU011456-RA,0.061720848
OTAU011984-RA,0.061808453
OTAU012201-RA,0.061772847
OTAU012278-RA,0.061827348
OTAU012580-RA,0.061695425
OTAU015726-RA,0.061617892
OTAU016464-RA,0.061662528
OTAU015264-RA,0.061948703
OTAU009546-RA,0.062000176
OTAU017032-RA,0.06204486
OTAU008284-RA,0.062087156
OTAU002371-RA,0.062189826
OTAU009356-RA,0.062191752
OTAU009991-RA,0.062150429
OTAU001607-RA,0.062321055
OTAU004170-RA,0.062295449
OTAU004825-RA,0.062346219
OTAU005785-RA,0.062369104
OTAU013964-RA,0.062401952
OTAU014060-RA,0.062444225
OTAU008849-RA,0.062544375
OTAU001937-RA,0.062680873
OTAU004130-RA,0.062709772
OTAU005973-RA,0.062661442
OTAU009094-RA,0.062648079
OTAU013708-RA,0.062631507
OTAU015621-RA,0.062596232
OTAU017116-RA,0.062725549
OTAU005184-RA,0.062876196
OTAU006559-RA,0.062916982
OTAU003052-RA,0.063112871
OTAU005191-RA,0.063200405
OTAU006597-RA,0.063236415
OTAU014637-RA,0.063238264
OTAU000297-RA,0.063307343
OTAU005173-RA,0.063455775
OTAU012027-RA,0.063437952
OTAU000559-RA,0.063539471
OTAU006900-RA,0.063531834
OTAU017359-RA,0.063609015
OTAU005089-RA,0.063717526
OTAU006108-RA,0.063695721
OTAU008646-RA,0.06372555
OTAU003960-RA,0.063762201
OTAU009307-RA,0.063778999
OTAU005574-RA,0.063859702
OTAU016731-RA,0.063840055
OTAU002824-RA,0.063898228
OTAU005654-RA,0.063946226
OTAU016431-RA,0.063954612
OTAU005260-RA,0.064013015
OTAU016244-RA,0.064006712
OTAU003829-RA,0.064089233
OTAU001197-RA,0.06416653
OTAU012859-RA,0.064242051
OTAU017337-RA,0.064231459
OTAU005501-RA,0.064286573
OTAU008789-RA,0.064406918
OTAU002737-RA,0.064482671
OTAU015864-RA,0.064500903
OTAU012354-RA,0.064553514
OTAU013802-RA,0.06456654
OTAU001070-RA,0.064617458
OTAU002778-RA,0.064826081
OTAU003154-RA,0.064855222
OTAU007043-RA,0.064675818
OTAU007082-RA,0.064866561
OTAU008751-RA,0.064672845
OTAU012423-RA,0.064917644
OTAU014134-RA,0.064758244
OTAU014325-RA,0.064770715
OTAU015151-RA,0.06490521
OTAU015790-RA,0.064812516
OTAU015836-RA,0.06484843
OTAU016210-RA,0.064889289
OTAU008236-RA,0.064986949
OTAU013242-RA,0.065108549
OTAU009665-RA,0.065182674
OTAU003261-RA,0.065374515
OTAU004312-RA,0.06538388
OTAU006665-RA,0.065426726
OTAU006949-RA,0.065318651
OTAU007445-RA,0.065361804
OTAU010326-RA,0.065398941
OTAU012544-RA,0.065432751
OTAU015556-RA,0.065322656
OTAU013791-RA,0.065553859
OTAU016463-RA,0.065586429
OTAU017217-RA,0.065641814
OTAU000731-RA,0.065808069
OTAU001522-RA,0.065722941
OTAU002409-RA,0.065807355
OTAU003579-RA,0.06578193
OTAU009449-RA,0.065800798
OTAU009978-RA,0.065737182
OTAU009563-RA,0.065974497
OTAU014435-RA,0.066002277
OTAU008589-RA,0.066104161
OTAU003521-RA,0.066294763
OTAU008356-RA,0.066278121
OTAU010989-RA,0.066167213
OTAU011157-RA,0.066200037
OTAU012899-RA,0.066262741
OTAU013321-RA,0.06631833
OTAU013674-RA,0.066284402
OTAU017233-RA,0.066269578
OTAU009303-RA,0.066353145
OTAU011090-RA,0.066391331
OTAU003420-RA,0.066562386
OTAU007929-RA,0.066597896
OTAU009220-RA,0.066499436
OTAU011101-RA,0.066514812
OTAU014120-RA,0.066599023
OTAU014253-RA,0.066582455
OTAU008881-RA,0.066624979
OTAU000909-RA,0.066693098
OTAU005031-RA,0.066705619
OTAU015443-RA,0.066712594
OTAU014974-RA,0.066755718
OTAU013534-RA,0.066790292
OTAU003460-RA,0.066837877
OTAU001669-RA,0.066879424
OTAU001312-RA,0.067210462
OTAU002566-RA,0.067063091
OTAU003385-RA,0.067263052
OTAU005438-RA,0.06729676
OTAU007255-RA,0.067302458
OTAU010777-RA,0.067215113
OTAU010984-RA,0.067051494
OTAU011578-RA,0.067237846
OTAU012971-RA,0.067101328
OTAU013650-RA,0.066980781
OTAU013852-RA,0.067113162
OTAU014044-RA,0.067181025
OTAU015049-RA,0.067174545
OTAU016858-RA,0.067233944
OTAU001844-RA,0.067458304
OTAU001935-RA,0.067357015
OTAU002574-RA,0.067495567
OTAU002626-RA,0.067501331
OTAU004917-RA,0.067455542
OTAU012132-RA,0.0673796
OTAU015993-RA,0.067402199
OTAU007409-RA,0.067571609
OTAU006932-RA,0.067619392
OTAU001929-RA,0.067826231
OTAU009921-RA,0.067876355
OTAU010525-RA,0.067809293
OTAU013247-RA,0.067707975
OTAU014413-RA,0.067780387
OTAU014738-RA,0.067867655
OTAU014962-RA,0.067661365
OTAU015821-RA,0.06787806
OTAU016278-RA,0.06783262
OTAU017245-RA,0.067802503
OTAU004759-RA,0.068002176
OTAU011867-RA,0.068037774
OTAU016593-RA,0.06818392
OTAU014543-RA,0.06826791
OTAU015376-RA,0.068268947
OTAU001926-RA,0.068422645
OTAU003092-RA,0.068513562
OTAU003450-RA,0.068502249
OTAU008938-RA,0.068407061
OTAU009625-RA,0.068453527
OTAU010268-RA,0.068363227
OTAU010814-RA,0.068441611
OTAU011059-RA,0.068462724
OTAU011308-RA,0.068316815
OTAU004919-RA,0.068562145
OTAU000189-RA,0.068635629
OTAU007045-RA,0.06871126
OTAU010195-RA,0.068690779
OTAU014674-RA,0.068719675
OTAU008196-RA,0.068834569
OTAU000055-RA,0.06892178
OTAU005110-RA,0.06893258
OTAU015728-RA,0.068968128
OTAU006811-RA,0.069030981
OTAU001795-RA,0.069084703
OTAU011289-RA,0.069100944
OTAU000434-RA,0.069244474
OTAU000947-RA,0.069283211
OTAU008536-RA,0.069158902
OTAU009134-RA,0.06919572
OTAU011078-RA,0.069260529
OTAU011381-RA,0.06922802
OTAU007731-RA,0.069318412
OTAU010020-RA,0.069338542
OTAU003211-RA,0.069481557
OTAU007867-RA,0.069489017
OTAU016897-RA,0.069476006
OTAU001140-RA,0.069649446
OTAU006083-RA,0.069605438
OTAU006341-RA,0.069674316
OTAU007096-RA,0.069670784
OTAU008439-RA,0.069647769
OTAU012805-RA,0.069670845
OTAU013364-RA,0.069537519
OTAU001414-RA,0.069717778
OTAU002532-RA,0.069766359
OTAU003041-RA,0.069787404
OTAU003036-RA,0.069937545
OTAU002993-RA,0.070060182
OTAU003265-RA,0.070034397
OTAU008420-RA,0.070111892
OTAU004224-RA,0.070197895
OTAU001067-RA,0.070226707
OTAU012847-RA,0.070345862
OTAU013289-RA,0.070323897
OTAU002646-RA,0.070566818
OTAU006281-RA,0.070556124
OTAU007953-RA,0.07057266
OTAU006506-RA,0.070696167
OTAU008089-RA,0.070677424
OTAU008878-RA,0.070667025
OTAU000853-RA,0.070770813
OTAU001341-RA,0.07080546
OTAU005861-RA,0.070811725
OTAU000883-RA,0.070883052
OTAU006713-RA,0.070954712
OTAU007251-RA,0.070954079
OTAU016235-RA,0.070913476
OTAU000636-RA,0.071022045
OTAU000558-RA,0.071138081
OTAU005152-RA,0.071109114
OTAU006176-RA,0.071083737
OTAU007934-RA,0.071115912
OTAU015729-RA,0.071164572
OTAU002291-RA,0.071323905
OTAU003629-RA,0.071325717
OTAU011440-RA,0.071365656
OTAU001612-RA,0.071405296
OTAU005817-RA,0.071476847
OTAU009137-RA,0.071457948
OTAU011948-RA,0.071477648
OTAU005795-RA,0.071582939
OTAU000656-RA,0.071621351
OTAU015583-RA,0.071640901
OTAU000121-RA,0.071787348
OTAU004655-RA,0.071738757
OTAU005756-RA,0.071689019
OTAU007090-RA,0.071783539
OTAU012241-RA,0.071790415
OTAU000835-RA,0.071837093
OTAU012819-RA,0.071846236
OTAU000810-RA,0.07200566
OTAU000852-RA,0.071947091
OTAU005112-RA,0.071988394
OTAU009390-RA,0.072040502
OTAU009950-RA,0.072031388
OTAU013292-RA,0.072009841
OTAU016467-RA,0.07207884
OTAU017312-RA,0.072086574
OTAU002946-RA,0.07211452
OTAU016154-RA,0.072180859
OTAU007792-RA,0.072218812
OTAU009492-RA,0.072411352
OTAU006350-RA,0.07250139
OTAU005965-RA,0.072561262
OTAU003486-RA,0.07278354
OTAU006295-RA,0.072814252
OTAU006608-RA,0.072729467
OTAU007687-RA,0.072732042
OTAU008885-RA,0.072794804
OTAU009796-RA,0.072813392
OTAU016978-RA,0.072838385
OTAU001967-RA,0.072907378
OTAU008963-RA,0.072908476
OTAU002562-RA,0.072937562
OTAU004602-RA,0.073079707
OTAU013554-RA,0.073065097
OTAU002017-RA,0.073480128
OTAU002379-RA,0.073572881
OTAU002805-RA,0.073673528
OTAU004311-RA,0.073447085
OTAU004882-RA,0.073582824
OTAU005027-RA,0.073580942
OTAU007095-RA,0.07344512
OTAU008199-RA,0.073622678
OTAU008724-RA,0.073635202
OTAU010747-RA,0.073684723
OTAU010903-RA,0.073649779
OTAU010912-RA,0.073606243
OTAU011106-RA,0.073545285
OTAU011431-RA,0.073407269
OTAU011711-RA,0.073640813
OTAU011816-RA,0.073337765
OTAU012422-RA,0.073663469
OTAU013923-RA,0.07324655
OTAU014929-RA,0.073147207
OTAU015004-RA,0.073427472
OTAU016816-RA,0.073694515
OTAU017400-RA,0.073345772
OTAU005094-RA,0.073860736
OTAU006572-RA,0.073866923
OTAU001718-RA,0.073901686
OTAU003659-RA,0.074049849
OTAU012210-RA,0.0741327
OTAU002139-RA,0.074188064
OTAU011875-RA,0.07421594
OTAU012714-RA,0.074240453
OTAU016121-RA,0.074253061
OTAU004316-RA,0.074314992
OTAU002038-RA,0.074363926
OTAU001588-RA,0.074430962
OTAU008792-RA,0.074411546
OTAU002240-RA,0.074491485
OTAU000300-RA,0.074620467
OTAU001491-RA,0.074635022
OTAU005971-RA,0.074587099
OTAU007135-RA,0.074578518
OTAU007980-RA,0.074531687
OTAU013804-RA,0.074793772
OTAU001501-RA,0.074889197
OTAU002668-RA,0.07485049
OTAU014305-RA,0.074894634
OTAU004862-RA,0.074973856
OTAU001117-RA,0.075310186
OTAU001936-RA,0.075328239
OTAU002310-RA,0.075366087
OTAU002428-RA,0.075449133
OTAU003234-RA,0.075406716
OTAU003680-RA,0.075176702
OTAU004058-RA,0.075423163
OTAU005046-RA,0.075135379
OTAU006518-RA,0.075217396
OTAU006848-RA,0.075352477
OTAU011024-RA,0.075371444
OTAU011341-RA,0.075202067
OTAU012513-RA,0.075296192
OTAU014713-RA,0.075334298
OTAU015745-RA,0.075313808
OTAU000302-RA,0.075506206
OTAU012604-RA,0.07549815
OTAU003109-RA,0.075583013
OTAU009869-RA,0.075623498
OTAU007114-RA,0.075806552
OTAU007487-RA,0.075791516
OTAU007544-RA,0.075735995
OTAU015380-RA,0.075771985
OTAU015604-RA,0.075778014
OTAU001198-RA,0.075907705
OTAU013694-RA,0.075954315
OTAU002195-RA,0.076045058
OTAU006359-RA,0.076141993
OTAU007655-RA,0.076048921
OTAU009358-RA,0.07609109
OTAU010127-RA,0.07611819
OTAU011193-RA,0.076067898
OTAU013057-RA,0.07599157
OTAU016557-RA,0.07619609
OTAU016241-RA,0.076369924
OTAU005104-RA,0.076533949
OTAU007080-RA,0.076503248
OTAU012239-RA,0.076526454
OTAU010763-RA,0.076633202
OTAU004744-RA,0.076704841
OTAU007021-RA,0.076750575
OTAU014361-RA,0.076806955
OTAU002621-RA,0.076919082
OTAU005082-RA,0.07698447
OTAU005854-RA,0.077055472
OTAU010201-RA,0.0770031
OTAU011058-RA,0.077068799
OTAU013506-RA,0.077080557
OTAU015424-RA,0.077009708
OTAU016270-RA,0.076987663
OTAU016992-RA,0.077082792
OTAU000708-RA,0.077266754
OTAU008277-RA,0.07721761
OTAU011254-RA,0.077250093
OTAU014100-RA,0.077336471
OTAU002602-RA,0.077390481
OTAU008933-RA,0.077403985
OTAU008937-RA,0.077509568
OTAU016996-RA,0.077484077
OTAU002270-RA,0.07760558
OTAU008241-RA,0.07765
OTAU002072-RA,0.077712659
OTAU002463-RA,0.077735285
OTAU005054-RA,0.07781957
OTAU015006-RA,0.077846756
OTAU017348-RA,0.077882786
OTAU003588-RA,0.078014679
OTAU004293-RA,0.077980327
OTAU008979-RA,0.077980466
OTAU014735-RA,0.078021744
OTAU017136-RA,0.078211328
OTAU002777-RA,0.078259683
OTAU006220-RA,0.078289336
OTAU008874-RA,0.078316273
OTAU014557-RA,0.078321953
OTAU008936-RA,0.078476425
OTAU014842-RA,0.078494259
OTAU012901-RA,0.078622822
OTAU004291-RA,0.078746064
OTAU004973-RA,0.078714051
OTAU017427-RA,0.078760778
OTAU002302-RA,0.078895212
OTAU000286-RA,0.078957459
OTAU005434-RA,0.079020514
OTAU008212-RA,0.079162663
OTAU009789-RA,0.079163611
OTAU003180-RA,0.079348552
OTAU004477-RA,0.07955406
OTAU005726-RA,0.079654348
OTAU010668-RA,0.079712914
OTAU000112-RA,0.080111912
OTAU004338-RA,0.080010959
OTAU004347-RA,0.07990605
OTAU005069-RA,0.080138193
OTAU008752-RA,0.079945188
OTAU009486-RA,0.07997328
OTAU009959-RA,0.079950858
OTAU010039-RA,0.079863844
OTAU010931-RA,0.08013829
OTAU011377-RA,0.080141652
OTAU014143-RA,0.080036928
OTAU014227-RA,0.079834706
OTAU015062-RA,0.080142988
OTAU008015-RA,0.08019051
OTAU008216-RA,0.080327027
OTAU010811-RA,0.080357607
OTAU001402-RA,0.08049263
OTAU000589-RA,0.080662196
OTAU002780-RA,0.080695948
OTAU003207-RA,0.080697974
OTAU004692-RA,0.080718356
OTAU007891-RA,0.080597092
OTAU009012-RA,0.08067713
OTAU017438-RA,0.080644471
OTAU001569-RA,0.080752577
OTAU002670-RA,0.080883355
OTAU003529-RA,0.08082424
OTAU004439-RA,0.080850309
OTAU005236-RA,0.080903414
OTAU015733-RA,0.080952837
OTAU009145-RA,0.081064094
OTAU012802-RA,0.081077956
OTAU009146-RA,0.081117197
OTAU001323-RA,0.081255365
OTAU004320-RA,0.081286174
OTAU006051-RA,0.0812345
OTAU006224-RA,0.081276739
OTAU006373-RA,0.081210122
OTAU007111-RA,0.081239891
OTAU016474-RA,0.081379301
OTAU008616-RA,0.08145627
OTAU017396-RA,0.081500029
OTAU002256-RA,0.081591956
OTAU006651-RA,0.081612686
OTAU013713-RA,0.081635806
OTAU017376-RA,0.081583043
OTAU001839-RA,0.081873964
OTAU004695-RA,0.081865085
OTAU009443-RA,0.081842061
OTAU002731-RA,0.081902372
OTAU007184-RA,0.082013044
OTAU011127-RA,0.082018574
OTAU012545-RA,0.082050808
OTAU007252-RA,0.082127609
OTAU002709-RA,0.082161464
OTAU002135-RA,0.082198344
OTAU004922-RA,0.082405602
OTAU008422-RA,0.082366777
OTAU011936-RA,0.082336825
OTAU013503-RA,0.082405139
OTAU010502-RA,0.082479462
OTAU004411-RA,0.08251604
OTAU006642-RA,0.082551954
OTAU013576-RA,0.08257101
OTAU004572-RA,0.08268506
OTAU006016-RA,0.082695143
OTAU014140-RA,0.082650002
OTAU009341-RA,0.082750302
OTAU012377-RA,0.082755379
OTAU004828-RA,0.082809546
OTAU003524-RA,0.082932553
OTAU012752-RA,0.083020795
OTAU015051-RA,0.083216938
OTAU016333-RA,0.083220829
OTAU000598-RA,0.08339118
OTAU001352-RA,0.083313732
OTAU012366-RA,0.08336425
OTAU015125-RA,0.083362228
OTAU016027-RA,0.083253339
OTAU016603-RA,0.0833559
OTAU015791-RA,0.083460415
OTAU016671-RA,0.083453524
OTAU009686-RA,0.083526736
OTAU005038-RA,0.083613439
OTAU005602-RA,0.083691051
OTAU007824-RA,0.083674453
OTAU011117-RA,0.083729639
OTAU014834-RA,0.083704024
OTAU016436-RA,0.083731004
OTAU006636-RA,0.083814546
OTAU013014-RA,0.083909025
OTAU009068-RA,0.084037902
OTAU003487-RA,0.08408935
OTAU006012-RA,0.084123076
OTAU014840-RA,0.084154711
OTAU006411-RA,0.084247291
OTAU006528-RA,0.084326384
OTAU007783-RA,0.084417097
OTAU002963-RA,0.084486548
OTAU004090-RA,0.08453343
OTAU001378-RA,0.084599477
OTAU005047-RA,0.084686063
OTAU006855-RA,0.084674334
OTAU010742-RA,0.084649144
OTAU001534-RA,0.084756859
OTAU000227-RA,0.08479486
OTAU000412-RA,0.085340734
OTAU001187-RA,0.085200188
OTAU001430-RA,0.085670478
OTAU001868-RA,0.085014418
OTAU002495-RA,0.085362427
OTAU002585-RA,0.085656623
OTAU002751-RA,0.085628326
OTAU002961-RA,0.085453475
OTAU003405-RA,0.085691359
OTAU003978-RA,0.085368068
OTAU004875-RA,0.085172853
OTAU005000-RA,0.085521632
OTAU006931-RA,0.085695687
OTAU007518-RA,0.084890332
OTAU007651-RA,0.085536071
OTAU008213-RA,0.085365215
OTAU008579-RA,0.085246941
OTAU009631-RA,0.085611176
OTAU009748-RA,0.084979489
OTAU010261-RA,0.085726064
OTAU010400-RA,0.084851804
OTAU010592-RA,0.085095918
OTAU010759-RA,0.085136186
OTAU010781-RA,0.085392357
OTAU010894-RA,0.084924627
OTAU011109-RA,0.08544892
OTAU011161-RA,0.085748147
OTAU011747-RA,0.085496273
OTAU012258-RA,0.085398305
OTAU012342-RA,0.085496803
OTAU014600-RA,0.085113456
OTAU016266-RA,0.085100647
OTAU017239-RA,0.085569008
OTAU008575-RA,0.085782143
OTAU016345-RA,0.085886749
OTAU011056-RA,0.085952411
OTAU017127-RA,0.086050274
OTAU013066-RA,0.086148975
OTAU001307-RA,0.08633448
OTAU013716-RA,0.086326978
OTAU013931-RA,0.086328159
OTAU015379-RA,0.08633876
OTAU014230-RA,0.086456065
OTAU014433-RA,0.086482203
OTAU011283-RA,0.086582533
OTAU012034-RA,0.086564216
OTAU000146-RA,0.086645805
OTAU000977-RA,0.086633233
OTAU000252-RA,0.086730251
OTAU008178-RA,0.086802099
OTAU014228-RA,0.086781032
OTAU007557-RA,0.086985608
OTAU009729-RA,0.086946783
OTAU011349-RA,0.087013239
OTAU017468-RA,0.087006244
OTAU001381-RA,0.087098378
OTAU010038-RA,0.087127386
OTAU010264-RA,0.087218018
OTAU012761-RA,0.087159667
OTAU013028-RA,0.087227045
OTAU015429-RA,0.087185112
OTAU010588-RA,0.087422184
OTAU011107-RA,0.087429811
OTAU015378-RA,0.087463224
OTAU006902-RA,0.087527014
OTAU008110-RA,0.087515894
OTAU003167-RA,0.087665773
OTAU003944-RA,0.087696991
OTAU010834-RA,0.087642165
OTAU012194-RA,0.087676974
OTAU007443-RA,0.087761474
OTAU010125-RA,0.087786692
OTAU009115-RA,0.087827499
OTAU002427-RA,0.087973928
OTAU003704-RA,0.087923129
OTAU009922-RA,0.087949316
OTAU011143-RA,0.087979514
OTAU013296-RA,0.088010575
OTAU013654-RA,0.08806399
OTAU002855-RA,0.088123866
OTAU007139-RA,0.088217032
OTAU000500-RA,0.088351953
OTAU011204-RA,0.088371884
OTAU016328-RA,0.088321864
OTAU017228-RA,0.088346564
OTAU006624-RA,0.088413287
OTAU008504-RA,0.088491373
OTAU010272-RA,0.088514664
OTAU016194-RA,0.088464686
OTAU011743-RA,0.088732031
OTAU016377-RA,0.088781782
OTAU001200-RA,0.088964861
OTAU002944-RA,0.088959336
OTAU015315-RA,0.088966406
OTAU000452-RA,0.08906817
OTAU004984-RA,0.089139583
OTAU008968-RA,0.089088425
OTAU012947-RA,0.089153965
OTAU016908-RA,0.089137973
OTAU014837-RA,0.089268042
OTAU003182-RA,0.089326227
OTAU013277-RA,0.08941849
OTAU008430-RA,0.089543442
OTAU015949-RA,0.089567516
OTAU009841-RA,0.08959726
OTAU012522-RA,0.089672496
OTAU004480-RA,0.089747168
OTAU008967-RA,0.089733337
OTAU003115-RA,0.08992915
OTAU006119-RA,0.089853963
OTAU016070-RA,0.089948152
OTAU016537-RA,0.089900481
OTAU017110-RA,0.089871889
OTAU000787-RA,0.090108421
OTAU002590-RA,0.090212703
OTAU002776-RA,0.090146189
OTAU003996-RA,0.090330805
OTAU008811-RA,0.090244624
OTAU010552-RA,0.090336467
OTAU011331-RA,0.090184234
OTAU011603-RA,0.09031462
OTAU012282-RA,0.090232451
OTAU012481-RA,0.090308193
OTAU012936-RA,0.090138583
OTAU013016-RA,0.090211436
OTAU007162-RA,0.090460681
OTAU000460-RA,0.090552542
OTAU012470-RA,0.090635274
OTAU015052-RA,0.090631131
OTAU015405-RA,0.090615841
OTAU016344-RA,0.090537002
OTAU005159-RA,0.090727286
OTAU000349-RA,0.090815866
OTAU002917-RA,0.091016944
OTAU004165-RA,0.09105508
OTAU004197-RA,0.090846805
OTAU004794-RA,0.090922822
OTAU005158-RA,0.091040385
OTAU009194-RA,0.091008291
OTAU011616-RA,0.090976819
OTAU013003-RA,0.090842793
OTAU013629-RA,0.090889361
OTAU014640-RA,0.090924625
OTAU000536-RA,0.091137923
OTAU010874-RA,0.091112108
OTAU000548-RA,0.091291839
OTAU001781-RA,0.091257541
OTAU010230-RA,0.091210716
OTAU013254-RA,0.091295394
OTAU007413-RA,0.091326715
OTAU000778-RA,0.09138809
OTAU007677-RA,0.091415251
OTAU016606-RA,0.091428517
OTAU002006-RA,0.091564902
OTAU011035-RA,0.091550436
OTAU000889-RA,0.091678168
OTAU003637-RA,0.091771932
OTAU005991-RA,0.091773584
OTAU008152-RA,0.09173383
OTAU004449-RA,0.091859457
OTAU004730-RA,0.091837315
OTAU017214-RA,0.091953527
OTAU013944-RA,0.092026049
OTAU016240-RA,0.092048418
OTAU016578-RA,0.092030395
OTAU000747-RA,0.092220009
OTAU003526-RA,0.092213046
OTAU004071-RA,0.092153626
OTAU010312-RA,0.092111356
OTAU011900-RA,0.092191004
OTAU008107-RA,0.092267137
OTAU001707-RA,0.092319654
OTAU005437-RA,0.092380704
OTAU006803-RA,0.092376587
OTAU002823-RA,0.092511469
OTAU012066-RA,0.092513511
OTAU014148-RA,0.092503287
OTAU014283-RA,0.092427262
OTAU006802-RA,0.092574465
OTAU013366-RA,0.092604464
OTAU014090-RA,0.092585254
OTAU003244-RA,0.092735722
OTAU005249-RA,0.092752046
OTAU006716-RA,0.092763528
OTAU008129-RA,0.092723013
OTAU009132-RA,0.092757579
OTAU007842-RA,0.092865749
OTAU004663-RA,0.093100646
OTAU006728-RA,0.093015168
OTAU007773-RA,0.093094152
OTAU010367-RA,0.09311783
OTAU011301-RA,0.092998325
OTAU011803-RA,0.092957119
OTAU012771-RA,0.0930716
OTAU006739-RA,0.09315423
OTAU013532-RA,0.093229028
OTAU005575-RA,0.09338179
OTAU004283-RA,0.093478627
OTAU004322-RA,0.093446011
OTAU007254-RA,0.093500389
OTAU004092-RA,0.093597343
OTAU011634-RA,0.093616119
OTAU013688-RA,0.093606129
OTAU000481-RA,0.093807878
OTAU000694-RA,0.093892167
OTAU011408-RA,0.093891986
OTAU006856-RA,0.094025131
OTAU008984-RA,0.094047564
OTAU004865-RA,0.09408633
OTAU006122-RA,0.094142129
OTAU015848-RA,0.094179336
OTAU016579-RA,0.094150362
OTAU014050-RA,0.094272997
OTAU006979-RA,0.094534972
OTAU000177-RA,0.09467065
OTAU006620-RA,0.094704875
OTAU007205-RA,0.094732823
OTAU012527-RA,0.094595369
OTAU013079-RA,0.09472527
OTAU017164-RA,0.094717128
OTAU005812-RA,0.09479141
OTAU008095-RA,0.094898022
OTAU005816-RA,0.094991819
OTAU003530-RA,0.095257769
OTAU004787-RA,0.095108788
OTAU005274-RA,0.095317286
OTAU005356-RA,0.095290092
OTAU008340-RA,0.095299349
OTAU009457-RA,0.095169802
OTAU012896-RA,0.095256401
OTAU013671-RA,0.095036373
OTAU013679-RA,0.095105285
OTAU016863-RA,0.095270818
OTAU017165-RA,0.095171724
OTAU010992-RA,0.095366721
OTAU004924-RA,0.095433604
OTAU014770-RA,0.09542219
OTAU004705-RA,0.095532533
OTAU014032-RA,0.095514364
OTAU003955-RA,0.095600424
OTAU016434-RA,0.095610028
OTAU011189-RA,0.095651251
OTAU017226-RA,0.095707248
OTAU012276-RA,0.095775894
OTAU016723-RA,0.095779281
OTAU002790-RA,0.095848032
OTAU005980-RA,0.095945073
OTAU008120-RA,0.09589567
OTAU009982-RA,0.095992099
OTAU010325-RA,0.096038503
OTAU012206-RA,0.096033527
OTAU012918-RA,0.095952007
OTAU003806-RA,0.096185966
OTAU008396-RA,0.096199514
OTAU010128-RA,0.096193524
OTAU010217-RA,0.096229563
OTAU010504-RA,0.096123725
OTAU013665-RA,0.096230932
OTAU000418-RA,0.096501192
OTAU001289-RA,0.096468427
OTAU001770-RA,0.096466624
OTAU003451-RA,0.096482972
OTAU011105-RA,0.096301105
OTAU014319-RA,0.096476851
OTAU014777-RA,0.096361642
OTAU016166-RA,0.096486733
OTAU016361-RA,0.096529157
OTAU016523-RA,0.096438874
OTAU011955-RA,0.096576496
OTAU011186-RA,0.09662066
OTAU013434-RA,0.096701474
OTAU008509-RA,0.096831639
OTAU009839-RA,0.096801984
OTAU010307-RA,0.096830052
OTAU016702-RA,0.096831357
OTAU001087-RA,0.097009732
OTAU004324-RA,0.097030038
OTAU004508-RA,0.096974366
OTAU006217-RA,0.097109282
OTAU001153-RA,0.097186842
OTAU005834-RA,0.097198869
OTAU008119-RA,0.097237594
OTAU001597-RA,0.097316982
OTAU002087-RA,0.09733928
OTAU010087-RA,0.097468785
OTAU012375-RA,0.097443582
OTAU013443-RA,0.097478542
OTAU014805-RA,0.097396775
OTAU010873-RA,0.097575138
OTAU012458-RA,0.097612722
OTAU002880-RA,0.097697134
OTAU012962-RA,0.097752225
OTAU009741-RA,0.097807754
OTAU004785-RA,0.097865679
OTAU005383-RA,0.097871449
OTAU013855-RA,0.097913933
OTAU000439-RA,0.098110176
OTAU001969-RA,0.098165873
OTAU003513-RA,0.09817225
OTAU005623-RA,0.098150644
OTAU001327-RA,0.098263641
OTAU002015-RA,0.098487767
OTAU002243-RA,0.098486553
OTAU003258-RA,0.098568723
OTAU004795-RA,0.098623741
OTAU006470-RA,0.098542654
OTAU008157-RA,0.098483956
OTAU009258-RA,0.09848396
OTAU010297-RA,0.098606692
OTAU011570-RA,0.098536338
OTAU012480-RA,0.098613796
OTAU000605-RA,0.098705144
OTAU005132-RA,0.098858282
OTAU007471-RA,0.099110372
OTAU011752-RA,0.099091479
OTAU002434-RA,0.099229501
OTAU006094-RA,0.099178284
OTAU009945-RA,0.099219028
OTAU001752-RA,0.099263278
OTAU000913-RA,0.0993169
OTAU006991-RA,0.099379255
OTAU006988-RA,0.099533811
OTAU007724-RA,0.099508093
OTAU008444-RA,0.099536072
OTAU013287-RA,0.099575899
OTAU003817-RA,0.099765526
OTAU013006-RA,0.099763602
OTAU008021-RA,0.099820525
OTAU001403-RA,0.100017208
OTAU003622-RA,0.100070936
OTAU003628-RA,0.100100377
OTAU005950-RA,0.100106526
OTAU008956-RA,0.099942326
OTAU011587-RA,0.100033718
OTAU012039-RA,0.099922892
OTAU015361-RA,0.100022722
OTAU004755-RA,0.100209086
OTAU013715-RA,0.100246263
OTAU007659-RA,0.100283699
OTAU008146-RA,0.100336872
OTAU008688-RA,0.100368512
OTAU010449-RA,0.100374269
OTAU001808-RA,0.100493209
OTAU013919-RA,0.1006331
OTAU016127-RA,0.10080122
OTAU004889-RA,0.100836204
OTAU005695-RA,0.100967973
OTAU005913-RA,0.100992493
OTAU012601-RA,0.100948909
OTAU016393-RA,0.100965247
OTAU009385-RA,0.101042391
OTAU003970-RA,0.101133305
OTAU001058-RA,0.101211821
OTAU010037-RA,0.101251665
OTAU003910-RA,0.101449316
OTAU004937-RA,0.101437041
OTAU000187-RA,0.101494624
OTAU004400-RA,0.101562491
